expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice,1, ./practice/d_t_1.mid, No,1.870022758,1.856,0, 2020_Oct_19_1256,53.14790902
practice,2, ./practice/d_t_2.mid, Yes,0.976788819,0.962,0, 2020_Oct_19_1256,79.51355666
practice,3, ./practice/d_p_2.mid, Yes,3.749808617,3.736,0, 2020_Oct_19_1256,106.8018837
practice,4, ./practice/d_p_1.mid, Yes,0.921676331,0.907,0, 2020_Oct_19_1256,130.0297225
experiment,1, ./mid/d_p_4.mid, Yes,1.598887852,1.584,0, 2020_Oct_19_1256,158.2460625
experiment,2, ./mid/d_p_1.mid, No,1.080939133,1.067,0, 2020_Oct_19_1256,182.7456318
experiment,3, ./mid/d_t_14.mid, Yes,1.632273117,1.618,0, 2020_Oct_19_1256,206.0950208
experiment,4, ./mid/d_p_8.mid, Yes,2.213902471,2.2,0, 2020_Oct_19_1256,231.0115078
experiment,5, ./mid/d_t_23.mid, Yes,1.287804227,1.274,0, 2020_Oct_19_1256,257.1448333
experiment,6, ./mid/d_p_3.mid, Yes,3.983066279,3.969,0, 2020_Oct_19_1256,284.7109936
experiment,7, ./mid/d_p_24.mid, No,1.34516528,1.332,0, 2020_Oct_19_1256,308.8934759
experiment,8, ./mid/d_t_10.mid, Yes,1.841946197,1.827,0, 2020_Oct_19_1256,332.5490091
experiment,9, ./mid/d_t_2.mid, Yes,4.667247942,4.653,0, 2020_Oct_19_1256,361.2316348
experiment,10, ./mid/d_p_17.mid, No,2.097379128,2.083,0, 2020_Oct_19_1256,385.6262414
experiment,11, ./mid/d_t_8.mid, Yes,1.292501253,1.279,0, 2020_Oct_19_1256,408.7756531
experiment,12, ./mid/d_t_16.mid, No,1.212660304,1.198,0, 2020_Oct_19_1256,432.9919755
experiment,13, ./mid/d_p_11.mid, Yes,2.065199967,2.051,0, 2020_Oct_19_1256,459.0081795
experiment,14, ./mid/d_p_9.mid, Yes,2.446789321,2.432,0, 2020_Oct_19_1256,485.3578906
experiment,15, ./mid/d_p_15.mid, Yes,1.226151542,1.212,0, 2020_Oct_19_1256,509.1079875
experiment,16, ./mid/d_t_6.mid, Yes,1.248681948,1.235,0, 2020_Oct_19_1256,536.9071399
experiment,17, ./mid/d_t_22.mid, Yes,3.741054328,3.726,0, 2020_Oct_19_1256,566.3400841
experiment,18, ./mid/d_t_11.mid, No,4.231367128,4.217,0, 2020_Oct_19_1256,593.3564768
experiment,19, ./mid/d_p_7.mid, No,1.268797555,1.254,0, 2020_Oct_19_1256,617.4562252
experiment,20, ./mid/d_t_4.mid, Yes,2.649723981,2.636,0, 2020_Oct_19_1256,646.8610717
experiment,21, ./mid/d_t_24.mid, No,2.20542243,2.191,0, 2020_Oct_19_1256,673.1054865
experiment,22, ./mid/d_p_16.mid, Yes,6.319421748,6.306,0, 2020_Oct_19_1256,701.6046358
experiment,23, ./mid/d_p_23.mid, Yes,4.824180238,4.81,0, 2020_Oct_19_1256,729.12118
experiment,24, ./mid/d_t_1.mid, No,1.426939947,1.412,0, 2020_Oct_19_1256,752.3208161
experiment,25, ./mid/d_t_19.mid, Yes,4.108459252,4.095,0, 2020_Oct_19_1256,780.5208049
experiment,26, ./mid/d_t_5.mid, No,3.017307286,3.003,0, 2020_Oct_19_1256,805.0034164
experiment,27, ./mid/d_p_22.mid, No,1.231828908,1.218,0, 2020_Oct_19_1256,829.5031476
experiment,28, ./mid/d_t_7.mid, Yes,3.030947456,3.017,0, 2020_Oct_19_1256,854.5530976
experiment,29, ./mid/d_t_20.mid, Yes,1.783678308,1.769,0, 2020_Oct_19_1256,881.757924
experiment,30, ./mid/d_t_15.mid, Yes,1.652123345,1.638,0, 2020_Oct_19_1256,904.9683701
experiment,31, ./mid/d_p_14.mid, No,4.053046563,4.038,0, 2020_Oct_19_1256,931.6685431
