expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/a_t_1.mid, No, 14.669625861002714, 14.656, 11, 2021_Jan_28_1124, 1467.698243121995
practice, 2, ./practice/a_p_1.mid, Yes, 4.675956847000634, 4.664, 11, 2021_Jan_28_1124, 1495.7060275389958
practice, 3, ./practice/a_t_2.mid, Yes, 5.031668743002228, 5.018, 11, 2021_Jan_28_1124, 1522.9312226359907
practice, 4, ./practice/a_p_2.mid, No, 5.596128245990258, 5.583, 11, 2021_Jan_28_1124, 1550.9720745689992
experiment, 1, ./mid/a_t_8.mid, Yes, 9.227257710997947, 9.213, 11, 2021_Jan_28_1124, 1619.7546629589924
experiment, 2, ./mid/a_p_3.mid, No, 16.6317409179901, 16.617, 11, 2021_Jan_28_1124, 1659.8474614649895
experiment, 3, ./mid/a_p_20.mid, No, 4.445075463998364, 4.432, 11, 2021_Jan_28_1124, 1685.1302099319873
experiment, 4, ./mid/a_p_17.mid, No, 3.3661285739945015, 3.354, 11, 2021_Jan_28_1124, 1710.6049235639948
experiment, 5, ./mid/a_t_6.mid, Yes, 6.814585190004436, 6.802, 11, 2021_Jan_28_1124, 1741.3211224349943
experiment, 6, ./mid/a_t_24.mid, Yes, 10.396796772009111, 10.383, 11, 2021_Jan_28_1124, 1773.3540402319923
experiment, 7, ./mid/a_t_23.mid, Yes, 4.094990763012902, 4.081, 11, 2021_Jan_28_1124, 1803.3132630749897
experiment, 8, ./mid/a_p_4.mid, Yes, 7.828640318010002, 7.815, 11, 2021_Jan_28_1124, 1834.3134804329893
experiment, 9, ./mid/a_t_7.mid, No, 3.0271381460042903, 3.014, 11, 2021_Jan_28_1124, 1859.5293226469948
experiment, 10, ./mid/a_t_19.mid, Yes, 6.784355971001787, 6.767, 11, 2021_Jan_28_1124, 1889.4396894169913
experiment, 11, ./mid/a_p_1.mid, Yes, 2.959403556989855, 2.946, 11, 2021_Jan_28_1124, 1916.003798892998
experiment, 12, ./mid/a_t_3.mid, No, 8.860597716004122, 8.847, 11, 2021_Jan_28_1124, 1948.1629035919905
experiment, 13, ./mid/a_p_2.mid, No, 2.888878838988603, 2.875, 11, 2021_Jan_28_1124, 1974.7201637159887
experiment, 14, ./mid/a_p_24.mid, Yes, 4.715713629004313, 4.701, 11, 2021_Jan_28_1124, 2001.9632434609957
experiment, 15, ./mid/a_p_6.mid, No, 2.406959765998181, 2.394, 11, 2021_Jan_28_1124, 2026.7124743009917
experiment, 16, ./mid/a_t_18.mid, Yes, 4.133209358013119, 4.119, 11, 2021_Jan_28_1124, 2057.270310737993
experiment, 17, ./mid/a_p_15.mid, Yes, 3.359209292990272, 3.347, 11, 2021_Jan_28_1124, 2084.270064974
experiment, 18, ./mid/a_p_5.mid, Yes, 2.0984469770046417, 2.086, 11, 2021_Jan_28_1124, 2109.8369184109906
experiment, 19, ./mid/a_p_12.mid, No, 3.130598730989732, 3.118, 11, 2021_Jan_28_1124, 2134.770242945
experiment, 20, ./mid/a_t_22.mid, No, 6.78857617599715, 6.775, 11, 2021_Jan_28_1124, 2163.119855963989
experiment, 21, ./mid/a_p_7.mid, Yes, 1.9762232770008268, 1.964, 11, 2021_Jan_28_1124, 2188.7034415969974
experiment, 22, ./mid/a_t_20.mid, Yes, 5.04730052499508, 5.035, 11, 2021_Jan_28_1124, 2217.2201892339945
experiment, 23, ./mid/a_t_9.mid, Yes, 1.5608136749942787, 1.547, 11, 2021_Jan_28_1124, 2240.2290537730005
experiment, 24, ./mid/a_t_12.mid, Yes, 8.237736715993378, 8.225, 11, 2021_Jan_28_1124, 2269.7368258060014
experiment, 25, ./mid/a_t_11.mid, Yes, 1.589275593010825, 1.576, 11, 2021_Jan_28_1124, 2295.9286211299914
experiment, 26, ./mid/a_p_22.mid, Yes, 2.1732368689990835, 2.157, 11, 2021_Jan_28_1124, 2320.1721376439964
experiment, 27, ./mid/a_t_1.mid, No, 1.9917685330001405, 1.975, 11, 2021_Jan_28_1124, 2343.58897218699
experiment, 28, ./mid/a_p_19.mid, No, 5.648567536001792, 5.635, 11, 2021_Jan_28_1124, 2372.0195633809926
experiment, 29, ./mid/a_t_13.mid, No, 2.029745689011179, 2.013, 11, 2021_Jan_28_1124, 2397.3059232160012
experiment, 30, ./mid/a_p_13.mid, No, 1.5819262790028006, 1.568, 11, 2021_Jan_28_1124, 2422.462544001988
experiment, 31, ./mid/a_p_21.mid, No, 1.2936866379895946, 1.28, 11, 2021_Jan_28_1124, 2445.978392883
experiment, 32, ./mid/a_p_10.mid, No, 1.1448031939944485, 1.132, 11, 2021_Jan_28_1124, 2470.011865422988
experiment, 33, ./mid/a_t_15.mid, No, 1.8471407030010596, 1.833, 11, 2021_Jan_28_1124, 2495.269657494995
experiment, 34, ./mid/a_t_14.mid, No, 1.2595551269914722, 1.247, 11, 2021_Jan_28_1124, 2516.719619494994
experiment, 35, ./mid/a_p_23.mid, Yes, 1.1879333149990998, 1.176, 11, 2021_Jan_28_1124, 2542.3033539099997
experiment, 36, ./mid/a_p_11.mid, No, 2.983255121987895, 2.97, 11, 2021_Jan_28_1124, 2569.246057889992
experiment, 37, ./mid/a_t_16.mid, No, 2.181657107998035, 2.169, 11, 2021_Jan_28_1124, 2591.836662540998
experiment, 38, ./mid/a_t_5.mid, Yes, 1.4764307709992863, 1.464, 11, 2021_Jan_28_1124, 2616.7198183339933
experiment, 39, ./mid/a_t_4.mid, No, 3.376452383992728, 3.362, 11, 2021_Jan_28_1124, 2641.5122567009967
experiment, 40, ./mid/a_p_16.mid, No, 1.8047748639946803, 1.791, 11, 2021_Jan_28_1124, 2666.352891097995
experiment, 41, ./mid/a_t_2.mid, No, 1.495991089992458, 1.479, 11, 2021_Jan_28_1124, 2689.7390806059993
experiment, 42, ./mid/a_p_8.mid, No, 1.641663308997522, 1.629, 11, 2021_Jan_28_1124, 2714.0532583439926
experiment, 43, ./mid/a_p_9.mid, No, 1.2316788629977964, 1.219, 11, 2021_Jan_28_1124, 2737.286388572
experiment, 44, ./mid/a_t_17.mid, Yes, 1.6794278349989327, 1.666, 11, 2021_Jan_28_1124, 2760.678931026996
experiment, 45, ./mid/a_p_18.mid, Yes, 2.130293458001688, 2.118, 11, 2021_Jan_28_1124, 2788.152846969999
experiment, 46, ./mid/a_t_21.mid, No, 1.4407767140073702, 1.424, 11, 2021_Jan_28_1124, 2812.0057436619973
experiment, 47, ./mid/a_p_14.mid, No, 2.4137705429893686, 2.401, 11, 2021_Jan_28_1124, 2837.3362087369896
experiment, 48, ./mid/a_t_10.mid, Yes, 3.060680805996526, 3.047, 11, 2021_Jan_28_1124, 2861.828828395999
