expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/d_p_2.mid, Yes, 8.53093431400157, 8.519, 18, 2021_Feb_04_1024, 11660.014906369
practice, 2, ./practice/d_t_1.mid, No, 3.898370523000267, 3.886, 18, 2021_Feb_04_1024, 11686.81480578
practice, 3, ./practice/d_t_2.mid, Yes, 2.6817080180007906, 2.668, 18, 2021_Feb_04_1024, 11715.306673852
practice, 4, ./practice/d_p_1.mid, Yes, 2.2275614029986173, 2.214, 18, 2021_Feb_04_1024, 11740.397370248
experiment, 1, ./mid/d_p_3.mid, Yes, 2.2238707289998274, 2.212, 18, 2021_Feb_04_1024, 11784.680630367
experiment, 2, ./mid/d_p_2.mid, No, 2.0595799639995676, 2.046, 18, 2021_Feb_04_1024, 11813.556459274
experiment, 3, ./mid/d_p_7.mid, No, 3.9279821920008544, 3.914, 18, 2021_Feb_04_1024, 11840.947026188
experiment, 4, ./mid/d_p_15.mid, No, 2.6008288730008644, 2.588, 18, 2021_Feb_04_1024, 11866.280531543
experiment, 5, ./mid/d_p_12.mid, Yes, 1.3645592019984178, 1.351, 18, 2021_Feb_04_1024, 11889.813490348
experiment, 6, ./mid/d_t_7.mid, Yes, 3.42640550500073, 3.414, 18, 2021_Feb_04_1024, 11915.996854843
experiment, 7, ./mid/d_p_19.mid, Yes, 2.2005252489998384, 2.184, 18, 2021_Feb_04_1024, 11941.065925448
experiment, 8, ./mid/d_t_2.mid, No, 1.4215915559998393, 1.41, 18, 2021_Feb_04_1024, 11967.146387883
experiment, 9, ./mid/d_t_6.mid, No, 4.438511887999994, 4.426, 18, 2021_Feb_04_1024, 11998.830046086001
experiment, 10, ./mid/d_t_24.mid, Yes, 2.159768918001646, 2.147, 18, 2021_Feb_04_1024, 12025.746753162
experiment, 11, ./mid/d_t_10.mid, No, 1.398003044001598, 1.385, 18, 2021_Feb_04_1024, 12050.188643693
experiment, 12, ./mid/d_p_18.mid, No, 4.003371295999386, 3.991, 18, 2021_Feb_04_1024, 12077.395807329
experiment, 13, ./mid/d_p_5.mid, No, 2.5774798479997116, 2.564, 18, 2021_Feb_04_1024, 12104.472141005
experiment, 14, ./mid/d_t_14.mid, Yes, 2.5225502840003173, 2.51, 18, 2021_Feb_04_1024, 12135.588146794
experiment, 15, ./mid/d_t_3.mid, Yes, 2.046972188998552, 2.035, 18, 2021_Feb_04_1024, 12160.046124779
experiment, 16, ./mid/d_t_22.mid, Yes, 2.732741136000186, 2.716, 18, 2021_Feb_04_1024, 12189.031530195
experiment, 17, ./mid/d_p_24.mid, No, 2.926429377999739, 2.914, 18, 2021_Feb_04_1024, 12215.329363089
experiment, 18, ./mid/d_p_20.mid, No, 2.4071630489997915, 2.393, 18, 2021_Feb_04_1024, 12241.188630578
experiment, 19, ./mid/d_t_12.mid, No, 1.1105977799998072, 1.097, 18, 2021_Feb_04_1024, 12266.304869742
experiment, 20, ./mid/d_p_9.mid, Yes, 2.9348884230003023, 2.921, 18, 2021_Feb_04_1024, 12294.071355319
experiment, 21, ./mid/d_t_9.mid, No, 1.6578032200013695, 1.645, 18, 2021_Feb_04_1024, 12315.729033331
experiment, 22, ./mid/d_t_20.mid, No, 2.038516685999639, 2.026, 18, 2021_Feb_04_1024, 12343.478996581
experiment, 23, ./mid/d_t_5.mid, Yes, 2.53988414000014, 2.526, 18, 2021_Feb_04_1024, 12367.995453497
experiment, 24, ./mid/d_t_15.mid, No, 1.2165900629988755, 1.203, 18, 2021_Feb_04_1024, 12391.221695415
experiment, 25, ./mid/d_t_4.mid, Yes, 2.421391865998885, 2.408, 18, 2021_Feb_04_1024, 12421.171035863
experiment, 26, ./mid/d_t_23.mid, Yes, 2.228194354000152, 2.216, 18, 2021_Feb_04_1024, 12453.478982207
experiment, 27, ./mid/d_p_17.mid, No, 1.4600654609985213, 1.447, 18, 2021_Feb_04_1024, 12477.804023884
experiment, 28, ./mid/d_t_17.mid, No, 2.656267239999579, 2.642, 18, 2021_Feb_04_1024, 12503.111875898001
experiment, 29, ./mid/d_p_11.mid, Yes, 2.1865065969996067, 2.172, 18, 2021_Feb_04_1024, 12529.761852859001
experiment, 30, ./mid/d_t_11.mid, No, 2.6316375589995005, 2.618, 18, 2021_Feb_04_1024, 12555.694927963
experiment, 31, ./mid/d_p_1.mid, No, 1.7597096450008394, 1.747, 18, 2021_Feb_04_1024, 12581.228594039
experiment, 32, ./mid/d_t_18.mid, Yes, 2.2942947070005175, 2.28, 18, 2021_Feb_04_1024, 12605.004360539
experiment, 33, ./mid/d_p_10.mid, Yes, 1.317420551999021, 1.301, 18, 2021_Feb_04_1024, 12630.380915819
experiment, 34, ./mid/d_p_23.mid, No, 1.9236918020014855, 1.911, 18, 2021_Feb_04_1024, 12655.445405370001
experiment, 35, ./mid/d_t_21.mid, Yes, 3.230286588001036, 3.218, 18, 2021_Feb_04_1024, 12684.228250453
experiment, 36, ./mid/d_p_13.mid, Yes, 1.3634318969998276, 1.351, 18, 2021_Feb_04_1024, 12709.061862828
experiment, 37, ./mid/d_t_1.mid, No, 1.5613520570004766, 1.549, 18, 2021_Feb_04_1024, 12732.711833915
experiment, 38, ./mid/d_p_4.mid, No, 3.2653510229993117, 3.252, 18, 2021_Feb_04_1024, 12757.871113617
experiment, 39, ./mid/d_p_22.mid, Yes, 1.497983467999802, 1.486, 18, 2021_Feb_04_1024, 12783.095179543001
experiment, 40, ./mid/d_p_21.mid, No, 1.8798396319998574, 1.866, 18, 2021_Feb_04_1024, 12807.894795893
experiment, 41, ./mid/d_t_13.mid, No, 2.2262002019997453, 2.214, 18, 2021_Feb_04_1024, 12832.828324798
experiment, 42, ./mid/d_p_6.mid, No, 1.342512806000741, 1.33, 18, 2021_Feb_04_1024, 12858.677782926
experiment, 43, ./mid/d_t_19.mid, Yes, 1.5545970990006026, 1.542, 18, 2021_Feb_04_1024, 12884.778339594
experiment, 44, ./mid/d_p_14.mid, No, 2.413736517999496, 2.4, 18, 2021_Feb_04_1024, 12910.194825922
experiment, 45, ./mid/d_t_8.mid, No, 2.698818676000883, 2.684, 18, 2021_Feb_04_1024, 12935.2040431
experiment, 46, ./mid/d_p_16.mid, No, 1.2270932709998306, 1.213, 18, 2021_Feb_04_1024, 12958.720793564
experiment, 47, ./mid/d_t_16.mid, No, 2.575529909998295, 2.562, 18, 2021_Feb_04_1024, 12984.561220879
experiment, 48, ./mid/d_p_8.mid, No, 1.3497828319996188, 1.337, 18, 2021_Feb_04_1024, 13009.04495874
