expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/a_t_2.mid, No, 6.149771134001639, 6.138, 6, 2020_Dec_14_1235, 251.7126629810009
practice, 2, ./practice/a_t_1.mid, Yes, 2.7832635850008955, 2.771, 6, 2020_Dec_14_1235, 276.3294200069995
practice, 3, ./practice/a_p_1.mid, No, 2.113025074999314, 2.099, 6, 2020_Dec_14_1235, 301.06213807899985
practice, 4, ./practice/a_p_2.mid, Yes, 1.955018802000268, 1.942, 6, 2020_Dec_14_1235, 325.2956983180011
experiment, 1, ./mid/a_t_19.mid, Yes, 3.6778332800004137, 3.666, 6, 2020_Dec_14_1235, 366.728727615
experiment, 2, ./mid/a_p_4.mid, Yes, 2.4402913949998037, 2.428, 6, 2020_Dec_14_1235, 392.8955303340008
experiment, 3, ./mid/a_t_20.mid, Yes, 1.559851472000446, 1.547, 6, 2020_Dec_14_1235, 417.8954269240003
experiment, 4, ./mid/a_p_14.mid, Yes, 6.60954404900076, 6.597, 6, 2020_Dec_14_1235, 447.41190214000017
experiment, 5, ./mid/a_t_7.mid, Yes, 2.0430904520017066, 2.031, 6, 2020_Dec_14_1235, 471.19522543399944
experiment, 6, ./mid/a_t_16.mid, Yes, 1.9252938350000477, 1.908, 6, 2020_Dec_14_1235, 493.4146808130008
experiment, 7, ./mid/a_p_5.mid, Yes, 2.6869865200005734, 2.673, 6, 2020_Dec_14_1235, 519.5951096339995
experiment, 8, ./mid/a_p_13.mid, Yes, 3.654616426998473, 3.641, 6, 2020_Dec_14_1235, 547.0115640900003
experiment, 9, ./mid/a_t_11.mid, Yes, 1.7654932570003439, 1.753, 6, 2020_Dec_14_1235, 573.1118578750011
experiment, 10, ./mid/a_t_8.mid, Yes, 7.778951329000847, 7.765, 6, 2020_Dec_14_1235, 606.8116065459999
experiment, 11, ./mid/a_t_13.mid, Yes, 4.821882412001287, 4.809, 6, 2020_Dec_14_1235, 635.1783966790008
experiment, 12, ./mid/a_p_18.mid, No, 4.2562656449990754, 4.242, 6, 2020_Dec_14_1235, 664.7614675679997
experiment, 13, ./mid/a_p_20.mid, Yes, 4.97521579000022, 4.963, 6, 2020_Dec_14_1235, 690.4451675300006
