expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/d_p_1.mid, No, 9.250376936000976, 9.236, 19, 2021_Feb_04_1510, 133.39704932200038
practice, 2, ./practice/d_t_1.mid, Yes, 4.378151648998028, 4.365, 19, 2021_Feb_04_1510, 160.40433050399952
practice, 3, ./practice/d_p_2.mid, Yes, 10.011642556997685, 9.995, 19, 2021_Feb_04_1510, 194.5564483720009
practice, 4, ./practice/d_t_2.mid, Yes, 2.555196599998453, 2.543, 19, 2021_Feb_04_1510, 222.38722583700292
experiment, 1, ./mid/d_t_22.mid, No, 5.145920021001075, 5.133, 19, 2021_Feb_04_1510, 327.7867072370027
experiment, 2, ./mid/d_p_16.mid, No, 20.129165516002104, 20.115, 19, 2021_Feb_04_1510, 370.40282716500224
experiment, 3, ./mid/d_p_5.mid, No, 3.743258089001756, 3.729, 19, 2021_Feb_04_1510, 398.41193562100307
experiment, 4, ./mid/d_t_15.mid, Yes, 4.7095646419984405, 4.697, 19, 2021_Feb_04_1510, 425.52794383900255
experiment, 5, ./mid/d_p_6.mid, No, 3.0946753839998564, 3.081, 19, 2021_Feb_04_1510, 452.73585638400255
experiment, 6, ./mid/d_p_9.mid, No, 10.559440673998324, 10.543, 19, 2021_Feb_04_1510, 487.3047389550011
experiment, 7, ./mid/d_p_23.mid, Yes, 3.1545966240009875, 3.142, 19, 2021_Feb_04_1510, 513.2188910450022
experiment, 8, ./mid/d_t_18.mid, Yes, 4.066434061001928, 4.05, 19, 2021_Feb_04_1510, 538.3046209400018
experiment, 9, ./mid/d_p_14.mid, No, 1.8970282759983093, 1.885, 19, 2021_Feb_04_1510, 562.968813917003
experiment, 10, ./mid/d_t_19.mid, Yes, 18.719036927999696, 18.706, 19, 2021_Feb_04_1510, 605.9277542430027
experiment, 11, ./mid/d_t_24.mid, Yes, 1.5960720160001074, 1.582, 19, 2021_Feb_04_1510, 632.1019018940024
experiment, 12, ./mid/d_p_18.mid, No, 5.026653697997972, 5.014, 19, 2021_Feb_04_1510, 659.801762987001
experiment, 13, ./mid/d_t_17.mid, No, 2.9723906610015547, 2.955, 19, 2021_Feb_04_1510, 684.9376292190027
experiment, 14, ./mid/d_p_4.mid, No, 1.3605503250000766, 1.347, 19, 2021_Feb_04_1510, 708.0605177680009
experiment, 15, ./mid/d_p_11.mid, Yes, 1.8134598450014892, 1.797, 19, 2021_Feb_04_1510, 733.8539814870019
experiment, 16, ./mid/d_t_16.mid, Yes, 3.671048725998844, 3.657, 19, 2021_Feb_04_1510, 760.5012653869999
experiment, 17, ./mid/d_t_9.mid, No, 1.5954339020026964, 1.582, 19, 2021_Feb_04_1510, 781.8440811979999
