condition,technique,item,mean_percent
teaching,articulation,1,66.6666666666667
teaching,articulation,10,33.3333333333333
teaching,articulation,11,66.6666666666667
teaching,articulation,12,22.2222222222222
teaching,articulation,13,55.5555555555556
teaching,articulation,14,22.2222222222222
teaching,articulation,15,55.5555555555556
teaching,articulation,16,22.2222222222222
teaching,articulation,17,55.5555555555556
teaching,articulation,18,77.7777777777778
teaching,articulation,19,77.7777777777778
teaching,articulation,2,33.3333333333333
teaching,articulation,20,66.6666666666667
teaching,articulation,21,55.5555555555556
teaching,articulation,22,55.5555555555556
teaching,articulation,23,55.5555555555556
teaching,articulation,24,33.3333333333333
teaching,articulation,3,77.7777777777778
teaching,articulation,4,33.3333333333333
teaching,articulation,5,66.6666666666667
teaching,articulation,6,44.4444444444444
teaching,articulation,7,55.5555555555556
teaching,articulation,8,55.5555555555556
teaching,articulation,9,11.1111111111111
teaching,dynamics,1,33.3333333333333
teaching,dynamics,10,77.7777777777778
teaching,dynamics,11,66.6666666666667
teaching,dynamics,12,11.1111111111111
teaching,dynamics,13,44.4444444444444
teaching,dynamics,14,55.5555555555556
teaching,dynamics,15,77.7777777777778
teaching,dynamics,16,22.2222222222222
teaching,dynamics,17,44.4444444444444
teaching,dynamics,18,55.5555555555556
teaching,dynamics,19,88.8888888888889
teaching,dynamics,2,33.3333333333333
teaching,dynamics,20,22.2222222222222
teaching,dynamics,21,100
teaching,dynamics,22,88.8888888888889
teaching,dynamics,23,33.3333333333333
teaching,dynamics,24,22.2222222222222
teaching,dynamics,3,55.5555555555556
teaching,dynamics,4,77.7777777777778
teaching,dynamics,5,66.6666666666667
teaching,dynamics,6,77.7777777777778
teaching,dynamics,7,66.6666666666667
teaching,dynamics,8,55.5555555555556
teaching,dynamics,9,44.4444444444444
performing,articulation,1,55.5555555555556
performing,articulation,10,66.6666666666667
performing,articulation,11,33.3333333333333
performing,articulation,12,77.7777777777778
performing,articulation,13,22.2222222222222
performing,articulation,14,55.5555555555556
performing,articulation,15,44.4444444444444
performing,articulation,16,44.4444444444444
performing,articulation,17,77.7777777777778
performing,articulation,18,33.3333333333333
performing,articulation,19,55.5555555555556
performing,articulation,2,33.3333333333333
performing,articulation,20,55.5555555555556
performing,articulation,21,44.4444444444444
performing,articulation,22,22.2222222222222
performing,articulation,23,33.3333333333333
performing,articulation,24,33.3333333333333
performing,articulation,3,77.7777777777778
performing,articulation,4,22.2222222222222
performing,articulation,5,55.5555555555556
performing,articulation,6,22.2222222222222
performing,articulation,7,66.6666666666667
performing,articulation,8,44.4444444444444
performing,articulation,9,44.4444444444444
performing,dynamics,1,55.5555555555556
performing,dynamics,10,44.4444444444444
performing,dynamics,11,22.2222222222222
performing,dynamics,12,77.7777777777778
performing,dynamics,13,22.2222222222222
performing,dynamics,14,66.6666666666667
performing,dynamics,15,88.8888888888889
performing,dynamics,16,77.7777777777778
performing,dynamics,17,77.7777777777778
performing,dynamics,18,22.2222222222222
performing,dynamics,19,44.4444444444444
performing,dynamics,2,33.3333333333333
performing,dynamics,20,55.5555555555556
performing,dynamics,21,88.8888888888889
performing,dynamics,22,66.6666666666667
performing,dynamics,23,77.7777777777778
performing,dynamics,24,66.6666666666667
performing,dynamics,3,66.6666666666667
performing,dynamics,4,77.7777777777778
performing,dynamics,5,77.7777777777778
performing,dynamics,6,66.6666666666667
performing,dynamics,7,77.7777777777778
performing,dynamics,8,55.5555555555556
performing,dynamics,9,33.3333333333333
