expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/d_t_2.mid, Yes, 7.155409097998927, 7.143, 10, 2021_Jan_15_1615, 1257.2583956460003
practice, 2, ./practice/d_p_2.mid, Yes, 3.7150053639998077, 3.702, 10, 2021_Jan_15_1615, 1285.274665039
practice, 3, ./practice/d_p_1.mid, Yes, 3.2419267979967117, 3.229, 10, 2021_Jan_15_1615, 1311.3335335509983
practice, 4, ./practice/d_t_1.mid, No, 1.565472079000756, 1.552, 10, 2021_Jan_15_1615, 1335.2410781079998
experiment, 1, ./mid/d_p_20.mid, Yes, 1.359466975001851, 1.346, 10, 2021_Jan_15_1615, 1381.2833234749996
experiment, 2, ./mid/d_t_12.mid, No, 3.261780485001509, 3.248, 10, 2021_Jan_15_1615, 1408.3240221529995
experiment, 3, ./mid/d_p_14.mid, Yes, 1.2367686520010466, 1.225, 10, 2021_Jan_15_1615, 1432.774022745998
experiment, 4, ./mid/d_p_5.mid, No, 2.4261565139968297, 2.414, 10, 2021_Jan_15_1615, 1459.157337534998
experiment, 5, ./mid/d_p_24.mid, No, 3.1228175020005438, 3.111, 10, 2021_Jan_15_1615, 1485.7908128210001
experiment, 6, ./mid/d_p_11.mid, Yes, 4.542836079999688, 4.53, 10, 2021_Jan_15_1615, 1514.5740345189988
experiment, 7, ./mid/d_p_22.mid, No, 1.0216245409974363, 1.008, 10, 2021_Jan_15_1615, 1539.4573334470006
experiment, 8, ./mid/d_t_20.mid, No, 1.8320171419982216, 1.82, 10, 2021_Jan_15_1615, 1566.7406960849985
experiment, 9, ./mid/d_t_13.mid, Yes, 1.690436510998552, 1.677, 10, 2021_Jan_15_1615, 1591.490389456998
experiment, 10, ./mid/d_t_7.mid, No, 1.228413846998592, 1.215, 10, 2021_Jan_15_1615, 1615.1665724230006
experiment, 11, ./mid/d_p_6.mid, Yes, 5.36127557600048, 5.349, 10, 2021_Jan_15_1615, 1644.6905589439993
experiment, 12, ./mid/d_t_4.mid, Yes, 1.7439099479997822, 1.73, 10, 2021_Jan_15_1615, 1673.4492795939987
experiment, 13, ./mid/d_t_6.mid, No, 1.1237091379989579, 1.111, 10, 2021_Jan_15_1615, 1701.4073107429977
experiment, 14, ./mid/d_p_19.mid, No, 1.7434294119993865, 1.731, 10, 2021_Jan_15_1615, 1725.5575030809996
experiment, 15, ./mid/d_p_3.mid, No, 1.5754809680001927, 1.561, 10, 2021_Jan_15_1615, 1750.9998312549978
experiment, 16, ./mid/d_p_8.mid, Yes, 1.432396735999646, 1.418, 10, 2021_Jan_15_1615, 1775.3906919539986
experiment, 17, ./mid/d_p_12.mid, No, 1.4572838100029912, 1.44, 10, 2021_Jan_15_1615, 1798.3929471949996
experiment, 18, ./mid/d_p_21.mid, No, 1.17925840099997, 1.165, 10, 2021_Jan_15_1615, 1822.4663864569993
experiment, 19, ./mid/d_t_3.mid, No, 1.4312303920014529, 1.417, 10, 2021_Jan_15_1615, 1845.8995134319994
experiment, 20, ./mid/d_p_13.mid, Yes, 1.6278330790009932, 1.615, 10, 2021_Jan_15_1615, 1870.2237259680005
experiment, 21, ./mid/d_t_16.mid, Yes, 4.5408349049976096, 4.528, 10, 2021_Jan_15_1615, 1898.0572408629996
experiment, 22, ./mid/d_p_9.mid, Yes, 1.155180203000782, 1.143, 10, 2021_Jan_15_1615, 1923.4406711089978
experiment, 23, ./mid/d_t_11.mid, Yes, 1.3589581989981525, 1.347, 10, 2021_Jan_15_1615, 1947.640664358998
experiment, 24, ./mid/d_p_23.mid, No, 2.053967867999745, 2.041, 10, 2021_Jan_15_1615, 1972.707503663998
experiment, 25, ./mid/d_t_23.mid, No, 1.4966305249981815, 1.483, 10, 2021_Jan_15_1615, 1999.4403784120004
experiment, 26, ./mid/d_t_2.mid, No, 2.599534164997749, 2.587, 10, 2021_Jan_15_1615, 2026.3573776929989
experiment, 27, ./mid/d_t_24.mid, No, 1.6936788290004188, 1.68, 10, 2021_Jan_15_1615, 2052.483464992998
experiment, 28, ./mid/d_t_22.mid, Yes, 1.3765409439984069, 1.359, 10, 2021_Jan_15_1615, 2079.8262932959988
experiment, 29, ./mid/d_t_15.mid, Yes, 2.6772461840009782, 2.664, 10, 2021_Jan_15_1615, 2104.3498274919984
experiment, 30, ./mid/d_p_16.mid, No, 1.67871555000238, 1.665, 10, 2021_Jan_15_1615, 2128.4997899560003
experiment, 31, ./mid/d_t_19.mid, Yes, 2.208863356998336, 2.192, 10, 2021_Jan_15_1615, 2155.1266612679974
experiment, 32, ./mid/d_p_7.mid, No, 8.041842258000543, 8.03, 10, 2021_Jan_15_1615, 2186.3993623530005
