expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/a_p_1.mid, Yes, 8.720386006985791, 8.706, 1, 2020_Nov_12_0957, 137.5404296189954
practice, 2, ./practice/a_t_1.mid, Yes, 3.4387912070087623, 3.422, 1, 2020_Nov_12_0957, 163.4498255320068
practice, 3, ./practice/a_p_2.mid, Yes, 4.576232279010583, 4.564, 1, 2020_Nov_12_0957, 190.58101478000754
practice, 4, ./practice/a_t_2.mid, Yes, 3.3454036240000278, 3.328, 1, 2020_Nov_12_0957, 216.58309688299778
experiment, 1, ./mid/a_p_3.mid, No, 2.8704063890036196, 2.856, 1, 2020_Nov_12_0957, 266.7637684700021
experiment, 2, ./mid/a_t_4.mid, No, 3.925864527001977, 3.909, 1, 2020_Nov_12_0957, 292.7495670329954
experiment, 3, ./mid/a_p_6.mid, Yes, 2.0320342899940442, 2.018, 1, 2020_Nov_12_0957, 317.7138026030152
experiment, 4, ./mid/a_t_6.mid, Yes, 1.9173901879985351, 1.905, 1, 2020_Nov_12_0957, 343.580434752017
experiment, 5, ./mid/a_t_17.mid, Yes, 1.340977893996751, 1.329, 1, 2020_Nov_12_0957, 366.68049639000674
experiment, 6, ./mid/a_p_1.mid, No, 0.9440964779932983, 0.93, 1, 2020_Nov_12_0957, 390.856589758012
experiment, 7, ./mid/a_p_2.mid, No, 2.194707771996036, 2.181, 1, 2020_Nov_12_0957, 416.3725775570201
experiment, 8, ./mid/a_t_19.mid, No, 1.3970815200009383, 1.383, 1, 2020_Nov_12_0957, 440.947012101009
experiment, 9, ./mid/a_t_22.mid, No, 1.6616676159901544, 1.648, 1, 2020_Nov_12_0957, 464.33979974201065
experiment, 10, ./mid/a_t_12.mid, No, 2.3093476479989477, 2.297, 1, 2020_Nov_12_0957, 487.7470588670112
experiment, 11, ./mid/a_t_14.mid, No, 2.9066466290096287, 2.89, 1, 2020_Nov_12_0957, 510.6328957960068
experiment, 12, ./mid/a_p_8.mid, Yes, 1.72277806798229, 1.71, 1, 2020_Nov_12_0957, 534.9471736440028
experiment, 13, ./mid/a_t_18.mid, Yes, 2.7609806190012023, 2.747, 1, 2020_Nov_12_0957, 563.8299763069954
experiment, 14, ./mid/a_t_15.mid, Yes, 2.2969181980006397, 2.283, 1, 2020_Nov_12_0957, 589.4563044980168
experiment, 15, ./mid/a_p_5.mid, Yes, 2.7457609820121434, 2.732, 1, 2020_Nov_12_0957, 615.506268290017
experiment, 16, ./mid/a_p_17.mid, No, 2.943067701009568, 2.929, 1, 2020_Nov_12_0957, 640.1562352220062
experiment, 17, ./mid/a_t_13.mid, Yes, 2.4545111900079064, 2.442, 1, 2020_Nov_12_0957, 665.8304337919981
experiment, 18, ./mid/a_p_12.mid, No, 0.9482093790138606, 0.934, 1, 2020_Nov_12_0957, 688.2895682920062
experiment, 19, ./mid/a_t_2.mid, No, 3.3834424749948084, 3.371, 1, 2020_Nov_12_0957, 713.3306509710092
experiment, 20, ./mid/a_t_11.mid, Yes, 1.4777324850147124, 1.464, 1, 2020_Nov_12_0957, 739.2397245050233
experiment, 21, ./mid/a_t_21.mid, Yes, 1.3039420650165994, 1.29, 1, 2020_Nov_12_0957, 762.6803670329973
experiment, 22, ./mid/a_p_7.mid, Yes, 1.4331488540046848, 1.416, 1, 2020_Nov_12_0957, 787.416359861003
experiment, 23, ./mid/a_p_14.mid, No, 2.0258704849984497, 2.012, 1, 2020_Nov_12_0957, 812.1136604200001
experiment, 24, ./mid/a_p_10.mid, No, 1.9757431589823682, 1.963, 1, 2020_Nov_12_0957, 836.9972431450151
experiment, 25, ./mid/a_t_8.mid, Yes, 3.2128268600208685, 3.199, 1, 2020_Nov_12_0957, 865.9394382280007
experiment, 26, ./mid/a_p_21.mid, Yes, 2.2716881509986706, 2.259, 1, 2020_Nov_12_0957, 890.2805151909997
experiment, 27, ./mid/a_p_22.mid, Yes, 1.8622200170066208, 1.848, 1, 2020_Nov_12_0957, 913.880273784016
experiment, 28, ./mid/a_p_18.mid, Yes, 1.5616529379913118, 1.545, 1, 2020_Nov_12_0957, 940.5330493200163
experiment, 29, ./mid/a_p_15.mid, Yes, 2.6129313280107453, 2.599, 1, 2020_Nov_12_0957, 966.5303895430116
experiment, 30, ./mid/a_t_23.mid, Yes, 2.0403407870035153, 2.028, 1, 2020_Nov_12_0957, 993.897285161016
experiment, 31, ./mid/a_t_3.mid, Yes, 3.700751895987196, 3.684, 1, 2020_Nov_12_0957, 1020.6656274910201
experiment, 32, ./mid/a_t_9.mid, No, 1.2485341390129179, 1.232, 1, 2020_Nov_12_0957, 1043.0329199450207
experiment, 33, ./mid/a_t_5.mid, No, 1.7352067910251208, 1.723, 1, 2020_Nov_12_0957, 1068.0807091500028
experiment, 34, ./mid/a_t_1.mid, No, 2.062380999006564, 2.048, 1, 2020_Nov_12_0957, 1091.3971262670239
experiment, 35, ./mid/a_t_7.mid, No, 1.6217281440040097, 1.608, 1, 2020_Nov_12_0957, 1115.1470963520114
experiment, 36, ./mid/a_p_9.mid, No, 4.126169154013041, 4.114, 1, 2020_Nov_12_0957, 1140.8972436370095
experiment, 37, ./mid/a_t_20.mid, Yes, 3.5391924870200455, 3.526, 1, 2020_Nov_12_0957, 1167.722659141
experiment, 38, ./mid/a_p_16.mid, Yes, 2.079208369978005, 2.067, 1, 2020_Nov_12_0957, 1192.5640576550213
experiment, 39, ./mid/a_t_16.mid, No, 2.1579205419984646, 2.141, 1, 2020_Nov_12_0957, 1214.999429522024
experiment, 40, ./mid/a_t_10.mid, No, 2.4261839349928778, 2.414, 1, 2020_Nov_12_0957, 1238.8306731290068
experiment, 41, ./mid/a_p_20.mid, No, 1.244760714005679, 1.232, 1, 2020_Nov_12_0957, 1260.2639467950212
experiment, 42, ./mid/a_p_24.mid, Yes, 1.0686219979834277, 1.055, 1, 2020_Nov_12_0957, 1283.523266839009
experiment, 43, ./mid/a_p_11.mid, Yes, 2.362537451001117, 2.349, 1, 2020_Nov_12_0957, 1309.6563824830228
experiment, 44, ./mid/a_t_24.mid, No, 1.1415768910082988, 1.13, 1, 2020_Nov_12_0957, 1332.163636049023
experiment, 45, ./mid/a_p_13.mid, Yes, 2.0810874729941133, 2.069, 1, 2020_Nov_12_0957, 1359.0803543759976
experiment, 46, ./mid/a_p_4.mid, No, 1.191107179998653, 1.178, 1, 2020_Nov_12_0957, 1383.4306322589982
experiment, 47, ./mid/a_p_23.mid, Yes, 1.495352762984112, 1.481, 1, 2020_Nov_12_0957, 1409.2306887099985
experiment, 48, ./mid/a_p_19.mid, No, 1.5304337310080882, 1.516, 1, 2020_Nov_12_0957, 1433.430775921006
