expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/a_p_2.mid, Yes, 8.487556815991411, 8.474, 1, 2021_Feb_24_0916, 2733.925886306999
practice, 2, ./practice/a_t_2.mid, No, 3.383190542997909, 3.366, 1, 2021_Feb_24_0916, 2767.978421161999
practice, 3, ./practice/a_t_1.mid, Yes, 2.8506566569994902, 2.834, 1, 2021_Feb_24_0916, 2802.544686509995
practice, 4, ./practice/a_p_1.mid, No, 1.9121066449879436, 1.895, 1, 2021_Feb_24_0916, 2837.3776442160015
experiment, 1, ./mid/a_p_4.mid, No, 6.77463954500854, 6.761, 1, 2021_Feb_24_0916, 2914.5340277649957
experiment, 2, ./mid/a_t_3.mid, No, 6.462651174006169, 6.449, 1, 2021_Feb_24_0916, 2954.117241689004
experiment, 3, ./mid/a_p_3.mid, No, 2.344460143998731, 2.33, 1, 2021_Feb_24_0916, 2990.457857807007
experiment, 4, ./mid/a_t_17.mid, Yes, 2.162273173002177, 2.145, 1, 2021_Feb_24_0916, 3025.9604179019952
experiment, 5, ./mid/a_p_18.mid, No, 1.942218436000985, 1.928, 1, 2021_Feb_24_0916, 3060.540786098005
experiment, 6, ./mid/a_t_9.mid, No, 2.772895360001712, 2.761, 1, 2021_Feb_24_0916, 3096.3574285829964
experiment, 7, ./mid/a_t_13.mid, Yes, 2.56104015398887, 2.549, 1, 2021_Feb_24_0916, 3132.3572880099964
experiment, 8, ./mid/a_t_16.mid, No, 2.0935020610049833, 2.079, 1, 2021_Feb_24_0916, 3168.733262537993
experiment, 9, ./mid/a_t_6.mid, Yes, 1.4298200280027231, 1.416, 1, 2021_Feb_24_0916, 3200.4237458559946
experiment, 10, ./mid/a_p_16.mid, No, 2.5098895900009666, 2.498, 1, 2021_Feb_24_0916, 3235.023985930995
experiment, 11, ./mid/a_p_11.mid, No, 1.8962140369985718, 1.882, 1, 2021_Feb_24_0916, 3270.573602283999
experiment, 12, ./mid/a_t_10.mid, No, 1.6561276229913346, 1.643, 1, 2021_Feb_24_0916, 3306.724026516007
experiment, 13, ./mid/a_p_1.mid, Yes, 1.3758958489925135, 1.363, 1, 2021_Feb_24_0916, 3341.2235899460065
experiment, 14, ./mid/a_t_1.mid, Yes, 1.259599087992683, 1.246, 1, 2021_Feb_24_0916, 3375.9828171749978
experiment, 15, ./mid/a_p_8.mid, No, 1.4751628530066228, 1.462, 1, 2021_Feb_24_0916, 3408.816110019994
experiment, 16, ./mid/a_t_18.mid, No, 1.5115519850078272, 1.499, 1, 2021_Feb_24_0916, 3443.2405100199976
experiment, 17, ./mid/a_p_2.mid, Yes, 1.5015755689964863, 1.485, 1, 2021_Feb_24_0916, 3477.8761460609967
experiment, 18, ./mid/a_p_15.mid, Yes, 2.293654448003508, 2.281, 1, 2021_Feb_24_0916, 3512.073715364997
experiment, 19, ./mid/a_p_10.mid, No, 1.3071865380043164, 1.294, 1, 2021_Feb_24_0916, 3545.157138377006
experiment, 20, ./mid/a_p_5.mid, No, 2.5848366400023224, 2.575, 1, 2021_Feb_24_0916, 3580.103916206004
experiment, 21, ./mid/a_t_4.mid, Yes, 7.1282231170043815, 7.115, 1, 2021_Feb_24_0916, 3620.2571842339967
experiment, 22, ./mid/a_t_14.mid, Yes, 1.7814483509864658, 1.769, 1, 2021_Feb_24_0916, 3652.289627924998
experiment, 23, ./mid/a_t_12.mid, No, 1.6780254960031016, 1.664, 1, 2021_Feb_24_0916, 3684.449602017994
experiment, 24, ./mid/a_p_13.mid, Yes, 2.4727946989878546, 2.459, 1, 2021_Feb_24_0916, 3719.7326367719943
experiment, 25, ./mid/a_t_5.mid, Yes, 1.4949067600100534, 1.481, 1, 2021_Feb_24_0916, 3755.582247846003
experiment, 26, ./mid/a_p_7.mid, Yes, 1.4426198720029788, 1.43, 1, 2021_Feb_24_0916, 3786.8233534860046
experiment, 27, ./mid/a_p_6.mid, Yes, 2.75886720699782, 2.745, 1, 2021_Feb_24_0916, 3820.4492177109933
experiment, 28, ./mid/a_t_8.mid, No, 1.6265237039915519, 1.613, 1, 2021_Feb_24_0916, 3856.066272705997
experiment, 29, ./mid/a_p_9.mid, Yes, 2.7488433760008775, 2.736, 1, 2021_Feb_24_0916, 3891.040342819004
experiment, 30, ./mid/a_t_11.mid, No, 3.229789428994991, 3.217, 1, 2021_Feb_24_0916, 3924.9400890219986
experiment, 31, ./mid/a_p_17.mid, Yes, 2.1571319340000628, 2.145, 1, 2021_Feb_24_0916, 3961.5068066069944
experiment, 32, ./mid/a_t_2.mid, No, 3.3536682349949842, 3.341, 1, 2021_Feb_24_0916, 3997.640153892993
experiment, 33, ./mid/a_t_7.mid, Yes, 1.081599343000562, 1.068, 1, 2021_Feb_24_0916, 4033.639804006001
experiment, 34, ./mid/a_t_15.mid, Yes, 1.6627537979948102, 1.646, 1, 2021_Feb_24_0916, 4068.1762222499965
experiment, 35, ./mid/a_p_12.mid, No, 2.061264632997336, 2.047, 1, 2021_Feb_24_0916, 4103.473168319993
experiment, 36, ./mid/a_p_14.mid, Yes, 1.8380203830020037, 1.824, 1, 2021_Feb_24_0916, 4137.456295317999
