expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/d_t_1.mid, No, 2.3628798779991484, 2.349, 14, 2021_Mar_22_1448, 68.41318362399943
practice, 2, ./practice/d_p_1.mid, Yes, 1.5967084050007543, 1.58, 14, 2021_Mar_22_1448, 105.86499302700031
practice, 3, ./practice/d_t_2.mid, Yes, 1.5571262889989157, 1.543, 14, 2021_Mar_22_1448, 142.9053395360006
practice, 4, ./practice/d_p_2.mid, No, 1.2991831360013748, 1.285, 14, 2021_Mar_22_1448, 170.31289231899973
experiment, 1, ./mid/d_t_6.mid, No, 2.3152372399999877, 2.301, 14, 2021_Mar_22_1448, 214.22218533399973
experiment, 2, ./mid/d_p_7.mid, No, 4.259440715999517, 4.247, 14, 2021_Mar_22_1448, 250.57969365899953
experiment, 3, ./mid/d_t_8.mid, No, 1.0174366150004062, 1.004, 14, 2021_Mar_22_1448, 283.88126371
experiment, 4, ./mid/d_p_1.mid, No, 0.9443897919991286, 0.931, 14, 2021_Mar_22_1448, 316.19636844699926
experiment, 5, ./mid/d_t_17.mid, Yes, 1.3308305739992647, 1.318, 14, 2021_Mar_22_1448, 349.1299117790004
experiment, 6, ./mid/d_p_9.mid, No, 1.0469313129997317, 1.034, 14, 2021_Mar_22_1448, 382.0299013679996
experiment, 7, ./mid/d_p_16.mid, No, 1.0593291830009548, 1.046, 14, 2021_Mar_22_1448, 417.0886973859997
experiment, 8, ./mid/d_t_10.mid, Yes, 1.4431366629996774, 1.429, 14, 2021_Mar_22_1448, 451.6053192260006
experiment, 9, ./mid/d_p_14.mid, No, 2.411984317999668, 2.395, 14, 2021_Mar_22_1448, 485.8818712320008
experiment, 10, ./mid/d_p_8.mid, No, 2.043168334001166, 2.031, 14, 2021_Mar_22_1448, 521.0129737879997
experiment, 11, ./mid/d_p_6.mid, No, 0.9850898659988161, 0.968, 14, 2021_Mar_22_1448, 555.0157529940006
experiment, 12, ./mid/d_t_4.mid, Yes, 1.1589090720008244, 1.142, 14, 2021_Mar_22_1448, 588.7490046100011
experiment, 13, ./mid/d_t_3.mid, No, 1.561468526999306, 1.549, 14, 2021_Mar_22_1448, 624.1631234010001
experiment, 14, ./mid/d_t_5.mid, Yes, 1.2761490829998365, 1.262, 14, 2021_Mar_22_1448, 660.4795434320004
experiment, 15, ./mid/d_t_16.mid, No, 0.9953117090008163, 0.979, 14, 2021_Mar_22_1448, 694.1988500160005
experiment, 16, ./mid/d_p_13.mid, No, 1.578310335000424, 1.565, 14, 2021_Mar_22_1448, 728.9628581380002
experiment, 17, ./mid/d_t_15.mid, No, 1.0452525960008643, 1.031, 14, 2021_Mar_22_1448, 762.739072024
experiment, 18, ./mid/d_p_3.mid, No, 1.524151333998816, 1.512, 14, 2021_Mar_22_1448, 796.6299337060009
experiment, 19, ./mid/d_p_4.mid, No, 1.0877284700000018, 1.075, 14, 2021_Mar_22_1448, 830.8800400510008
experiment, 20, ./mid/d_p_11.mid, Yes, 1.2284566660000564, 1.215, 14, 2021_Mar_22_1448, 867.8554551119996
experiment, 21, ./mid/d_p_15.mid, Yes, 4.048891905998971, 4.036, 14, 2021_Mar_22_1448, 905.2797592940005
experiment, 22, ./mid/d_t_11.mid, No, 1.407944607999525, 1.396, 14, 2021_Mar_22_1448, 939.929985144001
experiment, 23, ./mid/d_t_9.mid, No, 1.603444195998236, 1.591, 14, 2021_Mar_22_1448, 972.1630592309994
experiment, 24, ./mid/d_t_7.mid, Yes, 2.3158899059999385, 2.303, 14, 2021_Mar_22_1448, 1006.9632307619995
experiment, 25, ./mid/d_p_18.mid, No, 1.3777796900012618, 1.364, 14, 2021_Mar_22_1448, 1041.789632502001
experiment, 26, ./mid/d_t_2.mid, No, 1.0655981540003268, 1.053, 14, 2021_Mar_22_1448, 1074.6800444969995
experiment, 27, ./mid/d_p_12.mid, No, 1.111375335000048, 1.094, 14, 2021_Mar_22_1448, 1107.9983341210009
experiment, 28, ./mid/d_p_17.mid, Yes, 1.1866199699998106, 1.174, 14, 2021_Mar_22_1448, 1142.0632445779993
experiment, 29, ./mid/d_t_1.mid, Yes, 1.362436183999307, 1.348, 14, 2021_Mar_22_1448, 1174.4229185240001
experiment, 30, ./mid/d_t_18.mid, No, 1.1090891509993526, 1.092, 14, 2021_Mar_22_1448, 1208.5988940200004
experiment, 31, ./mid/d_p_5.mid, No, 1.0927949180004362, 1.08, 14, 2021_Mar_22_1448, 1242.480185024
experiment, 32, ./mid/d_p_10.mid, Yes, 2.37663793899992, 2.36, 14, 2021_Mar_22_1448, 1279.5487494320005
experiment, 33, ./mid/d_p_2.mid, Yes, 1.4709259219998785, 1.459, 14, 2021_Mar_22_1448, 1314.6463541419998
experiment, 34, ./mid/d_t_12.mid, No, 3.393511956999646, 3.38, 14, 2021_Mar_22_1448, 1351.022202088001
experiment, 35, ./mid/d_t_13.mid, Yes, 1.088527231999251, 1.076, 14, 2021_Mar_22_1448, 1385.3632157880002
experiment, 36, ./mid/d_t_14.mid, Yes, 1.1803560850003123, 1.167, 14, 2021_Mar_22_1448, 1418.8965508050005
