expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/a_t_2.mid, Yes, 2.2645266780000384, 2.252, 18, 2021_Jun_28_1758, 69.56364121800107
practice, 2, ./practice/a_t_1.mid, Yes, 1.9737355590004881, 1.961, 18, 2021_Jun_28_1758, 103.39697052200063
practice, 3, ./practice/a_p_1.mid, No, 1.8920539880000433, 1.878, 18, 2021_Jun_28_1758, 137.67977757100016
practice, 4, ./practice/a_p_2.mid, No, 1.3532675949991244, 1.339, 18, 2021_Jun_28_1758, 165.86334973500016
experiment, 1, ./mid/a_p_15.mid, Yes, 1.9722616600010952, 1.959, 18, 2021_Jun_28_1758, 206.06346058000054
experiment, 2, ./mid/a_t_4.mid, No, 1.4569674900012615, 1.44, 18, 2021_Jun_28_1758, 240.5659244540002
experiment, 3, ./mid/a_t_10.mid, Yes, 1.4150973859996157, 1.403, 18, 2021_Jun_28_1758, 276.74673844800054
experiment, 4, ./mid/a_p_17.mid, No, 1.5953392510000413, 1.579, 18, 2021_Jun_28_1758, 312.69907840199994
experiment, 5, ./mid/a_t_13.mid, No, 1.280164447000061, 1.263, 18, 2021_Jun_28_1758, 346.98230266500104
experiment, 6, ./mid/a_p_9.mid, Yes, 1.3093139540014818, 1.295, 18, 2021_Jun_28_1758, 381.17189304600106
experiment, 7, ./mid/a_t_14.mid, No, 1.6069852279997576, 1.593, 18, 2021_Jun_28_1758, 413.2793248710004
experiment, 8, ./mid/a_t_6.mid, Yes, 1.292239756001436, 1.278, 18, 2021_Jun_28_1758, 445.5293306759995
experiment, 9, ./mid/a_p_18.mid, Yes, 1.2951627710008324, 1.278, 18, 2021_Jun_28_1758, 479.1308227130012
experiment, 10, ./mid/a_t_1.mid, Yes, 1.3700731370008725, 1.354, 18, 2021_Jun_28_1758, 514.2980445110006
experiment, 11, ./mid/a_t_11.mid, No, 1.414570574001118, 1.401, 18, 2021_Jun_28_1758, 546.6953069390001
experiment, 12, ./mid/a_t_12.mid, No, 1.205394577998959, 1.188, 18, 2021_Jun_28_1758, 578.8468914639998
experiment, 13, ./mid/a_t_8.mid, Yes, 1.1932277430005342, 1.178, 18, 2021_Jun_28_1758, 614.2374860809996
experiment, 14, ./mid/a_t_3.mid, No, 1.7893611729996337, 1.776, 18, 2021_Jun_28_1758, 648.961168582
experiment, 15, ./mid/a_t_16.mid, Yes, 1.9908165680008096, 1.977, 18, 2021_Jun_28_1758, 685.5453405690005
experiment, 16, ./mid/a_p_1.mid, No, 1.1473615579998295, 1.135, 18, 2021_Jun_28_1758, 719.7951824049997
experiment, 17, ./mid/a_p_4.mid, Yes, 2.1097113539999555, 2.096, 18, 2021_Jun_28_1758, 754.5369041800004
experiment, 18, ./mid/a_p_2.mid, No, 1.5480234720016597, 1.534, 18, 2021_Jun_28_1758, 792.6114702470004
experiment, 19, ./mid/a_t_2.mid, No, 1.2551790359993902, 1.241, 18, 2021_Jun_28_1758, 826.9613522750005
experiment, 20, ./mid/a_p_7.mid, No, 1.602244948000589, 1.584, 18, 2021_Jun_28_1758, 858.6314564069999
experiment, 21, ./mid/a_t_5.mid, Yes, 1.2571865850004542, 1.245, 18, 2021_Jun_28_1758, 894.5612481070002
experiment, 22, ./mid/a_p_12.mid, Yes, 1.477985830999387, 1.466, 18, 2021_Jun_28_1758, 929.1776139289996
experiment, 23, ./mid/a_t_7.mid, No, 1.2640689060008299, 1.247, 18, 2021_Jun_28_1758, 963.4134459230008
experiment, 24, ./mid/a_p_11.mid, No, 1.165464907999194, 1.148, 18, 2021_Jun_28_1758, 998.496855065001
experiment, 25, ./mid/a_t_18.mid, Yes, 1.264332722999825, 1.251, 18, 2021_Jun_28_1758, 1032.4110052190008
experiment, 26, ./mid/a_p_5.mid, No, 1.2458904889990663, 1.231, 18, 2021_Jun_28_1758, 1065.8369354019997
experiment, 27, ./mid/a_t_9.mid, No, 1.090095776000453, 1.078, 18, 2021_Jun_28_1758, 1099.6274556610006
experiment, 28, ./mid/a_p_8.mid, No, 1.2105051529997581, 1.197, 18, 2021_Jun_28_1758, 1132.1531612090002
experiment, 29, ./mid/a_p_6.mid, Yes, 1.2598715889998857, 1.247, 18, 2021_Jun_28_1758, 1164.3363142979997
experiment, 30, ./mid/a_p_14.mid, Yes, 1.2121723749987723, 1.198, 18, 2021_Jun_28_1758, 1197.6606566270002
experiment, 31, ./mid/a_t_15.mid, Yes, 1.1354712419997668, 1.119, 18, 2021_Jun_28_1758, 1231.4298951149995
experiment, 32, ./mid/a_p_13.mid, Yes, 1.080327951000072, 1.063, 18, 2021_Jun_28_1758, 1265.2468002999994
experiment, 33, ./mid/a_p_10.mid, No, 1.1820287949994963, 1.168, 18, 2021_Jun_28_1758, 1298.5440638740001
experiment, 34, ./mid/a_p_16.mid, Yes, 1.4282172370003536, 1.415, 18, 2021_Jun_28_1758, 1331.919513625
experiment, 35, ./mid/a_t_17.mid, Yes, 1.3780110380012047, 1.366, 18, 2021_Jun_28_1758, 1366.444229787001
experiment, 36, ./mid/a_p_3.mid, No, 1.6957325540006423, 1.682, 18, 2021_Jun_28_1758, 1401.8869894849995
