expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/a_p_2.mid, No, 1.121885573000327, 1.108, 20, 2021_Jul_29_1324, 59.78935104800075
practice, 2, ./practice/a_t_2.mid, Yes, 1.1602810389995284, 1.147, 20, 2021_Jul_29_1324, 90.80600242200126
practice, 3, ./practice/a_p_1.mid, No, 1.158696078999128, 1.142, 20, 2021_Jul_29_1324, 123.81594316800147
practice, 4, ./practice/a_t_1.mid, Yes, 1.6133142259986926, 1.601, 20, 2021_Jul_29_1324, 156.5802941760012
experiment, 1, ./mid/a_p_5.mid, No, 1.573786470999039, 1.557, 20, 2021_Jul_29_1324, 199.49946607400125
experiment, 2, ./mid/a_p_8.mid, No, 0.8270386439999129, 0.813, 20, 2021_Jul_29_1324, 231.2968174530015
experiment, 3, ./mid/a_t_14.mid, Yes, 0.8394821649999358, 0.827, 20, 2021_Jul_29_1324, 262.2969059240004
experiment, 4, ./mid/a_t_15.mid, No, 1.5707924979997188, 1.558, 20, 2021_Jul_29_1324, 296.41370106700015
experiment, 5, ./mid/a_t_7.mid, Yes, 2.1606442570009676, 2.144, 20, 2021_Jul_29_1324, 331.2661361740011
experiment, 6, ./mid/a_p_18.mid, No, 1.5826470470001368, 1.566, 20, 2021_Jul_29_1324, 365.0662393090006
experiment, 7, ./mid/a_t_13.mid, No, 2.1437594420003734, 2.13, 20, 2021_Jul_29_1324, 399.8895885870006
experiment, 8, ./mid/a_t_3.mid, Yes, 6.274840357998983, 6.262, 20, 2021_Jul_29_1324, 438.6220920190008
experiment, 9, ./mid/a_p_4.mid, Yes, 5.380012908999561, 5.365, 20, 2021_Jul_29_1324, 475.7400720350015
experiment, 10, ./mid/a_p_9.mid, Yes, 1.317202621999968, 1.305, 20, 2021_Jul_29_1324, 509.3139733670014
experiment, 11, ./mid/a_t_16.mid, No, 0.8575794780008437, 0.845, 20, 2021_Jul_29_1324, 581.0972197250012
experiment, 12, ./mid/a_p_16.mid, No, 1.5774979199995869, 1.561, 20, 2021_Jul_29_1324, 614.2996722820008
experiment, 13, ./mid/a_p_1.mid, Yes, 1.0919999990001088, 1.075, 20, 2021_Jul_29_1324, 648.1825551130005
experiment, 14, ./mid/a_t_18.mid, Yes, 1.2436459450000257, 1.231, 20, 2021_Jul_29_1324, 681.847028391001
experiment, 15, ./mid/a_p_12.mid, No, 1.1911792650007555, 1.175, 20, 2021_Jul_29_1324, 715.649314147
experiment, 16, ./mid/a_t_2.mid, No, 1.1316791820008802, 1.115, 20, 2021_Jul_29_1324, 749.416126940001
experiment, 17, ./mid/a_t_6.mid, No, 2.8741962669992063, 2.861, 20, 2021_Jul_29_1324, 782.0470782040011
experiment, 18, ./mid/a_t_8.mid, Yes, 1.6273007510008028, 1.615, 20, 2021_Jul_29_1324, 817.5972370570016
experiment, 19, ./mid/a_p_10.mid, No, 0.9934141409994481, 0.979, 20, 2021_Jul_29_1324, 849.9067177670004
experiment, 20, ./mid/a_t_5.mid, Yes, 2.791656872999738, 2.779, 20, 2021_Jul_29_1324, 887.1469456440009
experiment, 21, ./mid/a_p_15.mid, No, 0.9106985709986475, 0.894, 20, 2021_Jul_29_1324, 919.5498154780016
experiment, 22, ./mid/a_t_11.mid, Yes, 1.5772637100017164, 1.564, 20, 2021_Jul_29_1324, 951.9227247730014
experiment, 23, ./mid/a_p_14.mid, Yes, 1.9088919089990668, 1.895, 20, 2021_Jul_29_1324, 1017.6394949660007
experiment, 24, ./mid/a_t_4.mid, Yes, 0.9396132559995749, 0.926, 20, 2021_Jul_29_1324, 1051.2226288740003
experiment, 25, ./mid/a_p_17.mid, Yes, 3.5585259220006265, 3.544, 20, 2021_Jul_29_1324, 1088.889615174001
experiment, 26, ./mid/a_t_10.mid, No, 0.9313143849994958, 0.919, 20, 2021_Jul_29_1324, 1124.0465380040005
experiment, 27, ./mid/a_t_9.mid, No, 1.6384884260005492, 1.626, 20, 2021_Jul_29_1324, 1158.180306821001
experiment, 28, ./mid/a_t_17.mid, No, 1.3115330140008155, 1.299, 20, 2021_Jul_29_1324, 1192.2805263260016
experiment, 29, ./mid/a_t_12.mid, No, 1.538091718999567, 1.524, 20, 2021_Jul_29_1324, 1224.0469084270007
experiment, 30, ./mid/a_p_13.mid, No, 0.9286344290012494, 0.915, 20, 2021_Jul_29_1324, 1257.6559172220004
experiment, 31, ./mid/a_p_3.mid, Yes, 1.3614246149991232, 1.348, 20, 2021_Jul_29_1324, 1292.5062557590009
experiment, 32, ./mid/a_p_6.mid, Yes, 7.463952842999788, 7.447, 20, 2021_Jul_29_1324, 1330.5661275760012
experiment, 33, ./mid/a_t_1.mid, Yes, 1.0440429509999376, 1.03, 20, 2021_Jul_29_1324, 1365.0227522220011
experiment, 34, ./mid/a_p_11.mid, No, 1.0414979529996344, 1.028, 20, 2021_Jul_29_1324, 1399.339820086001
experiment, 35, ./mid/a_p_7.mid, No, 1.3094204789995274, 1.295, 20, 2021_Jul_29_1324, 1430.2137492190013
experiment, 36, ./mid/a_p_2.mid, Yes, 2.0386421700004576, 2.026, 20, 2021_Jul_29_1324, 1465.0973870720009
