expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/d_t_2.mid, Yes, 23.001594272999682, 22.99, 6, 2020_Dec_14_1018, 6641.928179265
practice, 2, ./practice/d_p_1.mid, No, 6.111115889000757, 6.098, 6, 2020_Dec_14_1018, 6671.328020526001
practice, 3, ./practice/d_p_2.mid, No, 4.958630503000677, 4.945, 6, 2020_Dec_14_1018, 6700.38668178
practice, 4, ./practice/d_t_1.mid, Yes, 3.430980890999308, 3.419, 6, 2020_Dec_14_1018, 6726.360941131
experiment, 1, ./mid/d_p_18.mid, Yes, 3.870470011999714, 3.857, 6, 2020_Dec_14_1018, 6784.160351248001
experiment, 2, ./mid/d_t_19.mid, Yes, 5.8909419569999955, 5.878, 6, 2020_Dec_14_1018, 6814.802342192001
experiment, 3, ./mid/d_t_10.mid, No, 2.3828050989995972, 2.37, 6, 2020_Dec_14_1018, 6840.026831758
experiment, 4, ./mid/d_t_8.mid, Yes, 5.006371049000336, 4.992, 6, 2020_Dec_14_1018, 6867.560328153
experiment, 5, ./mid/d_p_1.mid, No, 2.1951422339998317, 2.184, 6, 2020_Dec_14_1018, 6894.026709244
experiment, 6, ./mid/d_t_23.mid, No, 11.042042584000228, 11.028, 6, 2020_Dec_14_1018, 6930.526151432
experiment, 7, ./mid/d_t_16.mid, No, 4.213988442999835, 4.2, 6, 2020_Dec_14_1018, 6958.326449618
experiment, 8, ./mid/d_p_8.mid, Yes, 2.5601314710002043, 2.546, 6, 2020_Dec_14_1018, 6986.468639419
experiment, 9, ./mid/d_p_21.mid, No, 2.5308734819991514, 2.518, 6, 2020_Dec_14_1018, 7012.476405871001
experiment, 10, ./mid/d_t_15.mid, Yes, 3.7451855180006532, 3.732, 6, 2020_Dec_14_1018, 7038.651736228
experiment, 11, ./mid/d_t_1.mid, Yes, 6.099707078999927, 6.083, 6, 2020_Dec_14_1018, 7067.345006603
experiment, 12, ./mid/d_p_13.mid, Yes, 2.395801829999982, 2.381, 6, 2020_Dec_14_1018, 7093.452037493001
experiment, 13, ./mid/d_t_22.mid, Yes, 2.410568878000049, 2.394, 6, 2020_Dec_14_1018, 7122.461031955
experiment, 14, ./mid/d_t_7.mid, No, 3.388517650000722, 3.377, 6, 2020_Dec_14_1018, 7148.4254834
experiment, 15, ./mid/d_p_23.mid, Yes, 1.9947587779997775, 1.982, 6, 2020_Dec_14_1018, 7173.892665545
experiment, 16, ./mid/d_t_17.mid, Yes, 1.1779200810005932, 1.163, 6, 2020_Dec_14_1018, 7198.184906374
experiment, 17, ./mid/d_p_22.mid, No, 2.3247066769999947, 2.311, 6, 2020_Dec_14_1018, 7224.701286132
experiment, 18, ./mid/d_p_7.mid, No, 4.826432472999841, 4.813, 6, 2020_Dec_14_1018, 7253.2513545970005
experiment, 19, ./mid/d_p_6.mid, Yes, 2.389167591999467, 2.376, 6, 2020_Dec_14_1018, 7280.251231988001
experiment, 20, ./mid/d_p_19.mid, No, 2.7261271240004135, 2.709, 6, 2020_Dec_14_1018, 7305.477491247
experiment, 21, ./mid/d_t_21.mid, Yes, 3.814394736000395, 3.798, 6, 2020_Dec_14_1018, 7335.127748898
experiment, 22, ./mid/d_p_12.mid, No, 1.1056651580001926, 1.093, 6, 2020_Dec_14_1018, 7358.242278123001
experiment, 23, ./mid/d_p_14.mid, Yes, 1.1601946809996662, 1.148, 6, 2020_Dec_14_1018, 7383.958662664
experiment, 24, ./mid/d_p_5.mid, No, 3.0762370789998386, 3.064, 6, 2020_Dec_14_1018, 7411.058777779001
experiment, 25, ./mid/d_t_2.mid, Yes, 1.2155189960003554, 1.203, 6, 2020_Dec_14_1018, 7437.07544804
experiment, 26, ./mid/d_t_18.mid, No, 2.4059939759999907, 2.394, 6, 2020_Dec_14_1018, 7461.608684277
experiment, 27, ./mid/d_p_10.mid, Yes, 1.760434542999974, 1.748, 6, 2020_Dec_14_1018, 7487.908775094001
experiment, 28, ./mid/d_p_11.mid, Yes, 1.9448259990003862, 1.931, 6, 2020_Dec_14_1018, 7514.167922849
experiment, 29, ./mid/d_p_9.mid, Yes, 1.4439928470001178, 1.43, 6, 2020_Dec_14_1018, 7540.184400331001
experiment, 30, ./mid/d_p_2.mid, Yes, 1.0092912509999223, 0.996, 6, 2020_Dec_14_1018, 7565.5842216480005
