expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/d_p_2.mid, Yes, 1.7621183389856014, 1.748, 3, 2020_Nov_13_1239, 60.49682227201993
practice, 2, ./practice/d_t_1.mid, No, 1.2967144619906321, 1.284, 3, 2020_Nov_13_1239, 83.846908550011
practice, 3, ./practice/d_p_1.mid, Yes, 1.7276484799804166, 1.714, 3, 2020_Nov_13_1239, 107.73927253001602
practice, 4, ./practice/d_t_2.mid, Yes, 1.6139754280156922, 1.597, 3, 2020_Nov_13_1239, 134.28236637701048
experiment, 1, ./mid/d_p_12.mid, No, 1.4536378449993208, 1.44, 3, 2020_Nov_13_1239, 189.79671591200167
experiment, 2, ./mid/d_p_22.mid, No, 3.4060950000130106, 3.389, 3, 2020_Nov_13_1239, 216.5987319140113
experiment, 3, ./mid/d_t_1.mid, Yes, 2.5522683529998176, 2.539, 3, 2020_Nov_13_1239, 240.91306754702237
experiment, 4, ./mid/d_p_9.mid, Yes, 1.1329351120220963, 1.119, 3, 2020_Nov_13_1239, 265.92976563301636
experiment, 5, ./mid/d_t_18.mid, No, 1.2945754220127128, 1.282, 3, 2020_Nov_13_1239, 288.22976146801375
experiment, 6, ./mid/d_p_8.mid, No, 1.2613591820118017, 1.25, 3, 2020_Nov_13_1239, 312.2133615940111
experiment, 7, ./mid/d_p_21.mid, No, 1.5333322710066568, 1.516, 3, 2020_Nov_13_1239, 336.2986300820194
experiment, 8, ./mid/d_t_4.mid, Yes, 1.0415066260029562, 1.028, 3, 2020_Nov_13_1239, 364.1226187450229
experiment, 9, ./mid/d_p_19.mid, No, 1.8993030420097057, 1.882, 3, 2020_Nov_13_1239, 388.04908049400547
experiment, 10, ./mid/d_p_11.mid, Yes, 0.7122310819977429, 0.698, 3, 2020_Nov_13_1239, 412.7556894060108
experiment, 11, ./mid/d_t_10.mid, Yes, 1.8777509969950188, 1.865, 3, 2020_Nov_13_1239, 436.4963361820264
experiment, 12, ./mid/d_t_15.mid, No, 0.9169962669839151, 0.905, 3, 2020_Nov_13_1239, 459.0632173360209
