expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/a_t_1.mid, Yes, 1.1023349749998488, 1.09, 7, 2020_Dec_15_1053, 70.8720817200001
practice, 2, ./practice/a_p_2.mid, No, 1.2458824860000277, 1.231, 7, 2020_Dec_15_1053, 94.53941850699994
practice, 3, ./practice/a_p_1.mid, No, 1.7915647749996424, 1.778, 7, 2020_Dec_15_1053, 119.55579628399983
practice, 4, ./practice/a_t_2.mid, Yes, 3.499870472999646, 3.483, 7, 2020_Dec_15_1053, 145.43242147799992
practice, 1, ./practice/a_t_1.mid, Yes, 3.5626278730001104, 3.55, 7, 2020_Dec_15_1053, 185.89677416799987
practice, 2, ./practice/a_p_2.mid, No, 1.1428409090003697, 1.13, 7, 2020_Dec_15_1053, 209.35573509100004
practice, 3, ./practice/a_p_1.mid, No, 1.4415528330000598, 1.428, 7, 2020_Dec_15_1053, 233.23875649399997
practice, 4, ./practice/a_t_2.mid, Yes, 1.3808553369999572, 1.367, 7, 2020_Dec_15_1053, 256.76330667
experiment, 1, ./mid/a_p_14.mid, No, 2.6910612769997897, 2.677, 7, 2020_Dec_15_1053, 288.363294924
experiment, 2, ./mid/a_t_3.mid, Yes, 1.4591662620000534, 1.442, 7, 2020_Dec_15_1053, 313.14906440699997
experiment, 3, ./mid/a_p_21.mid, No, 1.0926317069997822, 1.08, 7, 2020_Dec_15_1053, 336.54701038799976
experiment, 4, ./mid/a_p_22.mid, Yes, 1.3002885129999413, 1.288, 7, 2020_Dec_15_1053, 359.84674283100003
experiment, 5, ./mid/a_t_13.mid, No, 1.6082275099997787, 1.591, 7, 2020_Dec_15_1053, 384.68238394499986
experiment, 6, ./mid/a_t_5.mid, No, 1.29340616699983, 1.281, 7, 2020_Dec_15_1053, 409.46352057700005
experiment, 7, ./mid/a_p_18.mid, No, 1.2637117879999096, 1.251, 7, 2020_Dec_15_1053, 436.49685783999985
experiment, 8, ./mid/a_p_4.mid, Yes, 1.0956232419998742, 1.081, 7, 2020_Dec_15_1053, 461.02998638300005
experiment, 9, ./mid/a_p_7.mid, No, 1.497247593999873, 1.484, 7, 2020_Dec_15_1053, 485.9801045439999
experiment, 10, ./mid/a_p_16.mid, Yes, 1.3268420429999424, 1.314, 7, 2020_Dec_15_1053, 510.59622812199996
experiment, 11, ./mid/a_t_7.mid, Yes, 1.1134587869996722, 1.101, 7, 2020_Dec_15_1053, 533.9300799170001
experiment, 12, ./mid/a_p_9.mid, Yes, 1.1413716069996553, 1.125, 7, 2020_Dec_15_1053, 557.1326262709999
experiment, 13, ./mid/a_t_15.mid, No, 1.2648763360002704, 1.251, 7, 2020_Dec_15_1053, 581.8631315549997
experiment, 14, ./mid/a_p_1.mid, Yes, 1.3802313639998829, 1.368, 7, 2020_Dec_15_1053, 606.6468169949999
experiment, 15, ./mid/a_t_11.mid, Yes, 1.2054023220002819, 1.193, 7, 2020_Dec_15_1053, 632.4805251590001
experiment, 16, ./mid/a_p_15.mid, No, 1.299592008000218, 1.287, 7, 2020_Dec_15_1053, 657.4636611569999
experiment, 17, ./mid/a_p_11.mid, No, 1.260739507999915, 1.248, 7, 2020_Dec_15_1053, 682.9802038160001
experiment, 18, ./mid/a_t_24.mid, No, 1.0657213300000876, 1.052, 7, 2020_Dec_15_1053, 706.0467269379997
experiment, 19, ./mid/a_p_5.mid, No, 1.0430268529999012, 1.026, 7, 2020_Dec_15_1053, 730.5323772910001
experiment, 20, ./mid/a_p_12.mid, No, 1.0719594730003337, 1.059, 7, 2020_Dec_15_1053, 753.1888514059997
experiment, 21, ./mid/a_t_17.mid, Yes, 4.65791395100041, 4.644, 7, 2020_Dec_15_1053, 779.5468493349999
experiment, 22, ./mid/a_p_23.mid, No, 1.089021113000399, 1.075, 7, 2020_Dec_15_1053, 805.7469327959998
experiment, 23, ./mid/a_p_24.mid, Yes, 1.1260389950002718, 1.113, 7, 2020_Dec_15_1053, 829.2805288469999
experiment, 24, ./mid/a_t_20.mid, No, 1.283822052999767, 1.267, 7, 2020_Dec_15_1053, 853.966078726
experiment, 25, ./mid/a_t_6.mid, No, 1.9140731100001176, 1.901, 7, 2020_Dec_15_1053, 879.86376724
experiment, 26, ./mid/a_t_8.mid, Yes, 1.2136490369998683, 1.201, 7, 2020_Dec_15_1053, 906.997146528
experiment, 27, ./mid/a_t_9.mid, No, 1.0384274929997446, 1.026, 7, 2020_Dec_15_1053, 929.397178055
experiment, 28, ./mid/a_p_13.mid, Yes, 2.24672375199998, 2.23, 7, 2020_Dec_15_1053, 955.4995743879999
experiment, 29, ./mid/a_p_10.mid, No, 1.0756003430001329, 1.062, 7, 2020_Dec_15_1053, 979.8059081419997
experiment, 30, ./mid/a_p_6.mid, No, 2.5262993810001717, 2.513, 7, 2020_Dec_15_1053, 1004.7628606349999
experiment, 31, ./mid/a_p_2.mid, Yes, 2.2627389350000158, 2.25, 7, 2020_Dec_15_1053, 1030.6640247249998
experiment, 32, ./mid/a_t_16.mid, No, 2.2782959109999865, 2.265, 7, 2020_Dec_15_1053, 1053.314035672
experiment, 33, ./mid/a_t_2.mid, No, 2.5763890960001845, 2.563, 7, 2020_Dec_15_1053, 1077.3893683269998
experiment, 34, ./mid/a_t_23.mid, No, 1.6949352579999868, 1.683, 7, 2020_Dec_15_1053, 1104.930451357
experiment, 35, ./mid/a_p_19.mid, No, 1.9946566250000615, 1.981, 7, 2020_Dec_15_1053, 1129.5971578159997
experiment, 36, ./mid/a_t_10.mid, No, 1.1236964600002466, 1.111, 7, 2020_Dec_15_1053, 1151.9306665049999
experiment, 37, ./mid/a_t_19.mid, Yes, 1.359504404999825, 1.347, 7, 2020_Dec_15_1053, 1176.097563716
experiment, 38, ./mid/a_t_4.mid, No, 1.0950131299996428, 1.081, 7, 2020_Dec_15_1053, 1198.5897619039997
experiment, 39, ./mid/a_t_12.mid, Yes, 1.3606219469997995, 1.347, 7, 2020_Dec_15_1053, 1221.1233768379998
experiment, 40, ./mid/a_t_18.mid, No, 2.607319331000326, 2.593, 7, 2020_Dec_15_1053, 1250.3137536569998
