NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,56,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
18,230,62,65,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
19,306,60,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
20,436,64,64,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
21,532,62,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
22,656,65,74,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
23,718,64,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
24,858,67,73,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
25,882,65,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
26,1078,65,63,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
27,1134,67,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
28,1292,64,74,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
29,1356,65,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
30,1513,62,67,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
31,1518,64,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
32,1666,62,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
33,1712,60,64,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
34,1746,60,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
35,1954,62,55,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
36,1991,62,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
37,2153,64,64,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
38,2189,64,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
39,2361,65,70,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
40,2400,65,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
41,2566,67,71,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
42,2605,67,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
43,2788,65,64,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
44,2821,65,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
45,3000,64,72,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
46,3034,64,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
47,3205,62,65,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
48,3237,62,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
49,3430,60,67,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
50,3650,62,71,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
51,3737,60,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
52,3863,64,70,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
53,3944,62,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
54,4071,65,75,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
55,4117,64,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
56,4284,67,71,1,2,25,4,2,articulation,performing,2_p_stim_a.png,0
57,4302,65,64,0,2,25,4,2,articulation,performing,2_p_stim_a.png,0
