NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,80,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
18,202,62,81,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
19,232,60,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
20,408,64,83,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
21,444,62,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
22,584,65,77,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
23,629,64,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
24,797,67,88,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
25,831,65,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
26,994,65,89,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
27,1014,67,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
28,1179,64,78,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
29,1278,65,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
30,1365,62,88,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
31,1375,64,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
32,1447,62,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
33,1582,60,92,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
34,1662,60,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
35,1782,62,92,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
36,1826,62,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
37,1980,64,89,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
38,2060,64,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
39,2182,65,81,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
40,2224,65,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
41,2382,67,96,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
42,2455,67,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
43,2572,65,91,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
44,2662,65,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
45,2776,64,86,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
46,2836,64,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
47,2966,62,89,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
48,3003,62,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
49,3184,60,79,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
50,3382,62,86,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
51,3420,60,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
52,3580,64,86,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
53,3613,62,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
54,3760,65,81,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
55,3817,64,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
56,3971,67,88,1,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
57,4014,65,64,0,2,9,1,8,articulation,teaching,8_t_stim_a.png,0
