NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,53,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
18,214,62,62,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
19,244,60,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
20,386,64,60,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
21,392,62,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
22,565,65,60,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
23,582,64,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
24,741,65,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
25,748,67,66,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
26,911,65,68,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
27,919,67,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
28,1088,64,64,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
29,1092,65,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
30,1213,64,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
31,1254,62,55,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
32,1440,62,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
33,1442,60,54,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
34,1649,60,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
35,1668,62,49,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
36,1830,62,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
37,1840,64,52,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
38,2014,64,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
39,2024,65,51,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
40,2161,65,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
41,2193,67,54,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
42,2352,67,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
43,2370,65,56,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
44,2527,65,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
45,2554,64,57,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
46,2694,64,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
47,2721,62,59,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
48,2898,60,69,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
49,2911,62,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
50,3090,62,76,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
51,3143,60,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
52,3250,64,67,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
53,3302,62,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
54,3432,65,78,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
55,3465,64,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
56,3621,67,76,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
57,3622,65,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
58,3800,65,75,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
59,3830,67,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
60,3979,64,69,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
61,3997,65,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
62,4156,64,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
63,4162,62,64,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
64,4344,62,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
65,4349,60,59,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
66,4534,60,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
67,4558,62,55,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
68,4708,62,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
69,4719,64,58,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
70,4896,64,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
71,4899,65,62,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
72,5066,65,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
73,5092,67,60,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
74,5243,67,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
75,5254,65,56,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
76,5448,65,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
77,5451,64,55,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
78,5626,64,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
79,5656,62,52,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
80,5905,62,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
81,5920,60,47,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
82,8273,60,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
83,8753,67,47,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
84,8917,67,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
85,8970,65,42,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
86,9119,65,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
87,9136,64,54,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
88,9298,64,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
89,9326,62,55,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
90,9473,62,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
91,9478,60,57,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
92,9653,60,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
93,9669,62,61,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
94,9836,62,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
95,9847,64,61,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
96,10009,65,71,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
97,10012,64,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
98,10157,65,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
99,10202,67,78,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
100,10388,65,75,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
101,10422,67,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
102,10549,64,74,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
103,10588,65,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
104,10717,62,79,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
105,10747,64,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
106,10907,60,76,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
107,10937,62,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
108,11098,62,80,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
109,11126,60,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
110,11272,64,78,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
111,11301,62,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
112,11457,65,66,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
113,11471,64,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
114,11615,65,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
115,11659,67,54,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
116,11784,67,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
117,11822,65,50,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
118,12006,65,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
119,12010,64,57,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
120,12163,64,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
121,12194,62,55,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
122,12349,62,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
123,12367,60,54,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
124,12529,60,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
125,12557,62,57,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
126,12731,62,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
127,12742,64,61,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
128,12895,64,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
129,12922,65,63,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
130,13040,65,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
131,13104,67,77,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
132,13289,65,81,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
133,13344,67,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
134,13473,64,79,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
135,13513,65,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
136,13639,62,81,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
137,13661,64,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
138,13817,60,81,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
139,13849,62,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
140,14011,62,86,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
141,14041,60,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
142,14186,64,82,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
143,14228,62,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
144,14378,65,86,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
145,14407,64,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
146,14590,67,88,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
147,14594,65,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
148,16223,60,60,1,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
149,16240,67,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
150,17674,60,64,0,2,30,1,1,dynamics,performing,1_p_stim_d.png,0
