NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,81,1,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
18,200,62,80,1,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
19,214,60,64,0,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
20,373,64,83,1,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
21,375,62,64,0,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
22,525,64,64,0,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
23,535,65,79,1,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
24,713,67,90,1,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
25,717,65,64,0,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
26,879,65,85,1,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
27,905,67,64,0,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
28,1055,64,84,1,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
29,1090,65,64,0,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
30,1201,64,64,0,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
31,1223,62,72,1,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
32,1333,62,64,0,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
33,1459,60,44,1,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
34,1595,60,64,0,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
35,1661,62,43,1,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
36,1795,62,64,0,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
37,1834,64,43,1,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
38,1957,64,64,0,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
39,1992,65,53,1,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
40,2143,65,64,0,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
41,2212,67,37,1,2,19,1,1,dynamics,teaching,1_t_stim_d.png,0
