NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,56,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
18,182,60,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
19,188,62,67,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
20,369,64,75,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
21,432,62,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
22,541,65,79,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
23,600,64,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
24,714,67,79,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
25,742,65,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
26,907,65,91,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
27,935,67,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
28,1090,64,82,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
29,1110,65,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
30,1268,64,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
31,1270,62,79,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
32,1374,62,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
33,1436,60,79,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
34,1468,60,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
35,1623,62,80,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
36,1658,62,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
37,1792,64,81,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
38,1824,64,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
39,1963,65,88,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
40,1996,65,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
41,2127,67,96,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
42,2213,67,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
43,2316,65,78,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
44,2350,65,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
45,2486,64,75,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
46,2519,64,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
47,2662,62,72,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
48,2697,62,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
49,2842,60,69,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
50,3033,62,77,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
51,3053,60,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
52,3201,64,81,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
53,3242,62,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
54,3368,65,84,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
55,3422,64,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
56,3551,67,87,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
57,3562,65,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
58,3734,65,86,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
59,3754,67,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
60,3896,64,87,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
61,3910,65,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
62,4071,64,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
63,4074,62,82,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
64,4149,62,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
65,4252,60,85,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
66,4287,60,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
67,4432,62,84,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
68,4466,62,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
69,4603,64,83,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
70,4638,64,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
71,4762,65,96,1,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
72,4843,65,64,0,2,33,3,6,articulation,teaching,6_t_stim_a.png,0
