NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,74,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
18,217,62,74,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
19,285,60,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
20,409,64,76,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
21,419,62,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
22,609,65,76,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
23,641,64,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
24,796,67,82,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
25,805,65,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
26,988,65,72,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
27,1038,67,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
28,1202,64,76,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
29,1233,65,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
30,1398,62,72,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
31,1522,64,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
32,1614,62,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
33,1645,60,67,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
34,1864,60,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
35,1866,62,61,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
36,2071,62,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
37,2085,64,59,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
38,2258,65,67,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
39,2269,64,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
40,2471,65,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
41,2477,67,70,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
42,2663,65,61,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
43,2673,67,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
44,2868,64,66,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
45,2886,65,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
46,3071,62,76,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
47,3145,64,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
48,3264,60,85,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
49,3268,62,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
50,3479,62,85,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
51,3542,60,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
52,3668,64,87,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
53,3686,62,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
54,3883,65,78,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
55,3934,64,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
56,4087,67,79,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
57,4102,65,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
58,4288,65,70,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
59,4320,67,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
60,4487,64,74,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
61,4537,65,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
62,4685,62,69,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
63,4856,64,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
64,4903,62,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
65,4913,60,62,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
66,5131,62,60,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
67,5143,60,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
68,5328,62,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
69,5339,64,61,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
70,5546,65,72,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
71,5560,64,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
72,5734,65,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
73,5752,67,72,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
74,5957,65,65,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
75,5959,67,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
76,6175,64,66,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
77,6186,65,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
78,6417,62,57,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
79,6509,64,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
80,6663,60,60,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
81,6676,62,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
82,9291,60,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
83,9971,67,62,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
84,10180,67,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
85,10208,65,47,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
86,10405,64,60,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
87,10412,65,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
88,10651,62,63,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
89,10740,64,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
90,10862,62,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
91,10876,60,60,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
92,11079,62,53,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
93,11098,60,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
94,11294,62,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
95,11303,64,62,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
96,11497,65,73,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
97,11539,64,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
98,11696,65,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
99,11706,67,80,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
100,11914,65,81,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
101,11933,67,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
102,12119,64,76,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
103,12162,65,64,0,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
104,12323,62,79,1,2,27,1,1,dynamics,teaching,1_t_stim_d.png,0
