expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/a_p_2.mid, Yes, 11.92027147600038, 11.906, 14, 2021_Mar_22_1339, 2747.226007419
practice, 2, ./practice/a_t_2.mid, No, 5.012285625000004, 4.995, 14, 2021_Mar_22_1339, 2783.195221229
practice, 3, ./practice/a_t_1.mid, No, 2.5781607220005753, 2.564, 14, 2021_Mar_22_1339, 2817.6684988819998
practice, 4, ./practice/a_p_1.mid, Yes, 2.1563003470000695, 2.14, 14, 2021_Mar_22_1339, 2852.3777014939997
experiment, 1, ./mid/a_p_12.mid, No, 4.505164994000552, 4.491, 14, 2021_Mar_22_1339, 2904.7419592359993
experiment, 2, ./mid/a_p_2.mid, Yes, 1.1324541409994708, 1.116, 14, 2021_Mar_22_1339, 2939.3275269299993
experiment, 3, ./mid/a_p_16.mid, No, 1.9789051149991792, 1.965, 14, 2021_Mar_22_1339, 2973.8008157739996
experiment, 4, ./mid/a_t_7.mid, Yes, 1.9581932639994193, 1.946, 14, 2021_Mar_22_1339, 3008.8169637319997
experiment, 5, ./mid/a_t_16.mid, No, 1.9099893069997051, 1.897, 14, 2021_Mar_22_1339, 3045.0083383339997
experiment, 6, ./mid/a_t_18.mid, No, 2.125510048999786, 2.111, 14, 2021_Mar_22_1339, 3080.200308502999
experiment, 7, ./mid/a_t_6.mid, No, 4.428718731000117, 4.415, 14, 2021_Mar_22_1339, 3115.1005280279996
experiment, 8, ./mid/a_t_3.mid, No, 1.2275466400005826, 1.214, 14, 2021_Mar_22_1339, 3149.6169467
experiment, 9, ./mid/a_t_11.mid, No, 2.659875694999755, 2.646, 14, 2021_Mar_22_1339, 3183.166945993
experiment, 10, ./mid/a_p_5.mid, No, 1.8276138920000449, 1.813, 14, 2021_Mar_22_1339, 3218.300519324999
experiment, 11, ./mid/a_p_14.mid, Yes, 3.494566598000347, 3.482, 14, 2021_Mar_22_1339, 3254.1575203039993
experiment, 12, ./mid/a_p_10.mid, No, 1.498199537999426, 1.481, 14, 2021_Mar_22_1339, 3287.5601822889994
experiment, 13, ./mid/a_t_13.mid, No, 3.59577337599967, 3.583, 14, 2021_Mar_22_1339, 3324.457502509
experiment, 14, ./mid/a_p_9.mid, Yes, 3.3223791519994847, 3.31, 14, 2021_Mar_22_1339, 3360.6575550439993
experiment, 15, ./mid/a_p_3.mid, No, 1.6731443739990937, 1.661, 14, 2021_Mar_22_1339, 3396.2075807189995
experiment, 16, ./mid/a_t_10.mid, No, 1.5207284620000792, 1.506, 14, 2021_Mar_22_1339, 3432.4407785449994
experiment, 17, ./mid/a_t_12.mid, No, 2.2593740889997207, 2.242, 14, 2021_Mar_22_1339, 3465.2929196219993
experiment, 18, ./mid/a_p_15.mid, Yes, 1.1232656550000684, 1.111, 14, 2021_Mar_22_1339, 3498.490825377
experiment, 19, ./mid/a_t_15.mid, Yes, 1.0791538049998053, 1.065, 14, 2021_Mar_22_1339, 3532.3332655309996
experiment, 20, ./mid/a_p_13.mid, Yes, 3.291581452000173, 3.275, 14, 2021_Mar_22_1339, 3568.6099089609997
experiment, 21, ./mid/a_p_18.mid, No, 1.7442622709995703, 1.73, 14, 2021_Mar_22_1339, 3602.6498565019992
experiment, 22, ./mid/a_t_2.mid, No, 5.089006373999837, 5.077, 14, 2021_Mar_22_1339, 3640.77374925
experiment, 23, ./mid/a_t_4.mid, No, 2.1629848599995967, 2.149, 14, 2021_Mar_22_1339, 3675.857014661
experiment, 24, ./mid/a_p_4.mid, No, 2.8663593129995206, 2.854, 14, 2021_Mar_22_1339, 3710.5240057189994
experiment, 25, ./mid/a_p_1.mid, Yes, 1.3292526980003458, 1.313, 14, 2021_Mar_22_1339, 3744.7760014509995
experiment, 26, ./mid/a_p_8.mid, No, 1.7717601089998425, 1.759, 14, 2021_Mar_22_1339, 3777.390326008999
experiment, 27, ./mid/a_p_11.mid, Yes, 1.7116511120002542, 1.699, 14, 2021_Mar_22_1339, 3812.473543438
experiment, 28, ./mid/a_t_1.mid, Yes, 1.0886051219995352, 1.075, 14, 2021_Mar_22_1339, 3846.6568485489997
experiment, 29, ./mid/a_p_17.mid, Yes, 1.3004732339995826, 1.284, 14, 2021_Mar_22_1339, 3882.1430682709997
experiment, 30, ./mid/a_p_7.mid, No, 1.6246161380004196, 1.608, 14, 2021_Mar_22_1339, 3913.4094966389994
experiment, 31, ./mid/a_t_8.mid, No, 1.2473110789997008, 1.235, 14, 2021_Mar_22_1339, 3948.3903877269995
experiment, 32, ./mid/a_t_9.mid, Yes, 2.097167828000238, 2.081, 14, 2021_Mar_22_1339, 3982.859182462
experiment, 33, ./mid/a_p_6.mid, Yes, 6.729979091000132, 6.718, 14, 2021_Mar_22_1339, 4020.1737522489993
experiment, 34, ./mid/a_t_17.mid, No, 1.489034520000132, 1.475, 14, 2021_Mar_22_1339, 4055.1996800319994
experiment, 35, ./mid/a_t_5.mid, No, 1.7289847970005212, 1.715, 14, 2021_Mar_22_1339, 4091.199459814
experiment, 36, ./mid/a_t_14.mid, No, 2.258233996000854, 2.246, 14, 2021_Mar_22_1339, 4123.573603825999
