expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/a_p_1.mid, Yes, 2.3331528240000807, 2.321, 17, 2021_Jun_08_1118, 103.69660522999993
practice, 2, ./practice/a_p_2.mid, No, 2.4267164689999845, 2.414, 17, 2021_Jun_08_1118, 133.13035022199983
practice, 3, ./practice/a_t_2.mid, Yes, 1.1754396649998853, 1.161, 17, 2021_Jun_08_1118, 164.45567832000006
practice, 4, ./practice/a_t_1.mid, Yes, 1.0618719550002425, 1.045, 17, 2021_Jun_08_1118, 196.94857877699997
experiment, 1, ./mid/a_t_9.mid, Yes, 1.0348198650003724, 1.018, 17, 2021_Jun_08_1118, 238.38224063300004
experiment, 2, ./mid/a_t_16.mid, Yes, 2.3535700630000065, 2.341, 17, 2021_Jun_08_1118, 274.61308097300025
experiment, 3, ./mid/a_t_3.mid, Yes, 1.3873790239999835, 1.375, 17, 2021_Jun_08_1118, 309.0131817460001
experiment, 4, ./mid/a_p_18.mid, Yes, 3.5383365620000404, 3.525, 17, 2021_Jun_08_1118, 344.82960593300004
experiment, 5, ./mid/a_p_2.mid, Yes, 2.3613148839999667, 2.348, 17, 2021_Jun_08_1118, 380.1050795790002
experiment, 6, ./mid/a_t_18.mid, Yes, 1.3641316249995725, 1.352, 17, 2021_Jun_08_1118, 414.01282255000024
experiment, 7, ./mid/a_t_6.mid, Yes, 1.0404192070000136, 1.028, 17, 2021_Jun_08_1118, 445.07966359500006
experiment, 8, ./mid/a_p_16.mid, Yes, 1.1487139720002233, 1.136, 17, 2021_Jun_08_1118, 478.21287227799985
experiment, 9, ./mid/a_p_12.mid, Yes, 2.3285914729999604, 2.314, 17, 2021_Jun_08_1118, 513.6463226239998
experiment, 10, ./mid/a_t_7.mid, Yes, 2.0102109970002857, 1.997, 17, 2021_Jun_08_1118, 548.3382107349998
experiment, 11, ./mid/a_t_8.mid, Yes, 1.6740185629996631, 1.661, 17, 2021_Jun_08_1118, 584.1885128439999
experiment, 12, ./mid/a_p_14.mid, Yes, 0.9481698790000337, 0.933, 17, 2021_Jun_08_1118, 617.03863589
experiment, 13, ./mid/a_p_10.mid, Yes, 1.2603020159999687, 1.247, 17, 2021_Jun_08_1118, 649.9051014729998
experiment, 14, ./mid/a_t_13.mid, Yes, 1.8755468720000863, 1.862, 17, 2021_Jun_08_1118, 684.4385863850002
experiment, 15, ./mid/a_t_15.mid, Yes, 1.95795800399992, 1.945, 17, 2021_Jun_08_1118, 719.0965276279999
experiment, 16, ./mid/a_t_10.mid, Yes, 1.4417390379999233, 1.429, 17, 2021_Jun_08_1118, 754.6796933710002
experiment, 17, ./mid/a_p_13.mid, Yes, 1.0618160659996647, 1.047, 17, 2021_Jun_08_1118, 788.3724984290002
experiment, 18, ./mid/a_p_11.mid, Yes, 1.3223481840000204, 1.309, 17, 2021_Jun_08_1118, 822.9957575829999
experiment, 19, ./mid/a_p_7.mid, No, 1.3726340399998662, 1.355, 17, 2021_Jun_08_1118, 854.0145878900003
experiment, 20, ./mid/a_t_2.mid, Yes, 20.647701190000134, 20.631, 17, 2021_Jun_08_1118, 907.4984613320003
experiment, 21, ./mid/a_t_17.mid, Yes, 12.63254387699999, 12.62, 17, 2021_Jun_08_1118, 953.162783793
experiment, 22, ./mid/a_p_8.mid, Yes, 0.6980722739999692, 0.684, 17, 2021_Jun_08_1118, 984.946095321
experiment, 23, ./mid/a_t_12.mid, Yes, 1.8788114399999358, 1.865, 17, 2021_Jun_08_1118, 1017.0719065349999
experiment, 24, ./mid/a_p_6.mid, Yes, 3.155462558999716, 3.143, 17, 2021_Jun_08_1118, 1050.8792760269998
experiment, 25, ./mid/a_p_1.mid, Yes, 5.431063442999857, 5.419, 17, 2021_Jun_08_1118, 1089.2291728320001
experiment, 26, ./mid/a_t_1.mid, Yes, 1.3429876390000572, 1.329, 17, 2021_Jun_08_1118, 1123.6215785990003
experiment, 27, ./mid/a_t_4.mid, Yes, 1.6119904259999203, 1.6, 17, 2021_Jun_08_1118, 1157.996037379
experiment, 28, ./mid/a_p_4.mid, Yes, 3.2936575200001244, 3.28, 17, 2021_Jun_08_1118, 1192.3216644610002
experiment, 29, ./mid/a_p_17.mid, Yes, 4.582664979999208, 4.57, 17, 2021_Jun_08_1118, 1230.9791227849996
experiment, 30, ./mid/a_t_5.mid, Yes, 3.4325674579995393, 3.419, 17, 2021_Jun_08_1118, 1268.6124478939996
experiment, 31, ./mid/a_t_14.mid, Yes, 1.161707700000079, 1.149, 17, 2021_Jun_08_1118, 1299.9625468279996
experiment, 32, ./mid/a_p_5.mid, Yes, 1.3543739979995735, 1.342, 17, 2021_Jun_08_1118, 1333.2790479050004
experiment, 33, ./mid/a_p_9.mid, Yes, 3.888912164999965, 3.875, 17, 2021_Jun_08_1118, 1369.41273822
experiment, 34, ./mid/a_p_15.mid, Yes, 2.726540861000103, 2.714, 17, 2021_Jun_08_1118, 1403.795948939
experiment, 35, ./mid/a_t_11.mid, Yes, 2.5558483650002017, 2.539, 17, 2021_Jun_08_1118, 1436.8981627360004
experiment, 36, ./mid/a_p_3.mid, Yes, 4.971887531999528, 4.959, 17, 2021_Jun_08_1118, 1475.262799353
