expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/d_p_1.mid, Yes, 7.0669316580006125, 7.054, 20, 2021_Jul_29_1251, 300.0634349640004
practice, 2, ./practice/d_t_1.mid, No, 20.893934531000923, 20.88, 20, 2021_Jul_29_1251, 355.68883341000037
practice, 3, ./practice/d_p_2.mid, No, 2.9119319199999154, 2.898, 20, 2021_Jul_29_1251, 385.06279833699955
practice, 4, ./practice/d_t_2.mid, No, 1.7916481749998638, 1.777, 20, 2021_Jul_29_1251, 422.55529216799914
practice, 1, ./practice/d_p_1.mid, No, 1.9765969640011463, 1.962, 20, 2021_Jul_29_1251, 472.88886240899956
practice, 2, ./practice/d_t_1.mid, No, 1.1390686419999838, 1.125, 20, 2021_Jul_29_1251, 508.3886255180005
practice, 3, ./practice/d_p_2.mid, No, 0.8591385500003526, 0.846, 20, 2021_Jul_29_1251, 535.6381626429993
practice, 4, ./practice/d_t_2.mid, Yes, 1.7057660819991725, 1.693, 20, 2021_Jul_29_1251, 572.6795480000001
experiment, 1, ./mid/d_p_9.mid, No, 2.4445384860009653, 2.428, 20, 2021_Jul_29_1251, 615.9818757689991
experiment, 2, ./mid/d_p_11.mid, Yes, 0.9729459299996961, 0.959, 20, 2021_Jul_29_1251, 652.7959452430005
experiment, 3, ./mid/d_t_14.mid, Yes, 5.598558421001144, 5.582, 20, 2021_Jul_29_1251, 691.0813975029996
experiment, 4, ./mid/d_p_2.mid, No, 1.1590749210008653, 1.147, 20, 2021_Jul_29_1251, 726.2298795349998
experiment, 5, ./mid/d_p_8.mid, No, 1.5998700100008136, 1.583, 20, 2021_Jul_29_1251, 761.3321809869994
experiment, 6, ./mid/d_t_4.mid, Yes, 0.9303133270004764, 0.918, 20, 2021_Jul_29_1251, 795.1295075540002
experiment, 7, ./mid/d_t_13.mid, No, 1.1722483089997695, 1.156, 20, 2021_Jul_29_1251, 829.6651033489998
experiment, 8, ./mid/d_p_15.mid, No, 1.338763330000802, 1.326, 20, 2021_Jul_29_1251, 864.1127829590005
experiment, 9, ./mid/d_p_16.mid, No, 0.8925048830005835, 0.88, 20, 2021_Jul_29_1251, 899.4794144299995
experiment, 10, ./mid/d_t_6.mid, Yes, 34.677248572999815, 34.662, 20, 2021_Jul_29_1251, 968.6719360579991
experiment, 11, ./mid/d_t_3.mid, Yes, 1.356030611001188, 1.339, 20, 2021_Jul_29_1251, 1004.3824169460004
experiment, 12, ./mid/d_p_10.mid, Yes, 1.696192659001099, 1.684, 20, 2021_Jul_29_1251, 1041.762782451
experiment, 13, ./mid/d_p_6.mid, No, 1.0453435010003886, 1.031, 20, 2021_Jul_29_1251, 1075.1717594780002
experiment, 14, ./mid/d_t_17.mid, No, 1.8450540430003457, 1.833, 20, 2021_Jul_29_1251, 1108.7130351260002
experiment, 15, ./mid/d_p_4.mid, Yes, 1.4083102339991456, 1.394, 20, 2021_Jul_29_1251, 1143.412848083999
experiment, 16, ./mid/d_p_18.mid, No, 1.6223299199991743, 1.61, 20, 2021_Jul_29_1251, 1178.1632272160005
experiment, 17, ./mid/d_t_16.mid, No, 1.3473416030010412, 1.331, 20, 2021_Jul_29_1251, 1212.3818946749998
experiment, 18, ./mid/d_p_7.mid, Yes, 61.50831788100004, 61.496, 20, 2021_Jul_29_1251, 1305.21312097
experiment, 19, ./mid/d_p_1.mid, No, 1.4650396259985428, 1.448, 20, 2021_Jul_29_1251, 1338.4650656989998
experiment, 20, ./mid/d_t_7.mid, Yes, 1.6576774150016718, 1.641, 20, 2021_Jul_29_1251, 1372.515492179
experiment, 21, ./mid/d_t_8.mid, No, 1.1705510730007518, 1.156, 20, 2021_Jul_29_1251, 1405.6055906269994
experiment, 22, ./mid/d_p_5.mid, No, 1.2563138639998215, 1.244, 20, 2021_Jul_29_1251, 1439.4463519500005
experiment, 23, ./mid/d_t_10.mid, No, 2.814074335999976, 2.8, 20, 2021_Jul_29_1251, 1474.8961596150002
experiment, 24, ./mid/d_t_11.mid, Yes, 2.693950869001128, 2.681, 20, 2021_Jul_29_1251, 1510.9963268619995
experiment, 25, ./mid/d_t_2.mid, Yes, 0.9641908129997319, 0.952, 20, 2021_Jul_29_1251, 1543.8462919150006
experiment, 26, ./mid/d_t_1.mid, No, 0.9744843890002812, 0.962, 20, 2021_Jul_29_1251, 1575.9963473400003
experiment, 27, ./mid/d_t_18.mid, No, 2.5896640669998305, 2.573, 20, 2021_Jul_29_1251, 1611.6987913550001
experiment, 28, ./mid/d_p_14.mid, No, 1.4576982439994026, 1.445, 20, 2021_Jul_29_1251, 1648.696525935
