expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/d_t_1.mid, Yes, 39.686930082000345, 23.624, 21, 2021_Aug_24_1050, 184.1392190739998
practice, 2, ./practice/d_p_2.mid, No, 1.5715663930000119, 1.559, 21, 2021_Aug_24_1050, 212.08001204099992
practice, 3, ./practice/d_p_1.mid, Yes, 2.4586382249999588, 2.445, 21, 2021_Aug_24_1050, 250.25542910100012
practice, 4, ./practice/d_t_2.mid, No, 1.895515160999821, 1.882, 21, 2021_Aug_24_1050, 287.7724121340002
experiment, 1, ./mid/d_t_14.mid, Yes, 1.5580438110000614, 1.546, 21, 2021_Aug_24_1050, 339.59661318400003
experiment, 2, ./mid/d_p_3.mid, Yes, 2.022032998999748, 2.01, 21, 2021_Aug_24_1050, 374.2130706029998
experiment, 3, ./mid/d_p_5.mid, No, 1.656748778000292, 1.64, 21, 2021_Aug_24_1050, 408.59893687800013
experiment, 4, ./mid/d_p_11.mid, Yes, 2.540424174999771, 2.529, 21, 2021_Aug_24_1050, 446.9628485970002
experiment, 5, ./mid/d_p_14.mid, No, 1.3446775920001528, 1.331, 21, 2021_Aug_24_1050, 480.3056372770002
experiment, 6, ./mid/d_p_1.mid, No, 1.231703029000073, 1.218, 21, 2021_Aug_24_1050, 513.772386315
experiment, 7, ./mid/d_p_13.mid, No, 1.4889611759999752, 1.477, 21, 2021_Aug_24_1050, 548.91332074
experiment, 8, ./mid/d_p_8.mid, No, 1.3664159049999398, 1.349, 21, 2021_Aug_24_1050, 584.032636295
experiment, 9, ./mid/d_t_4.mid, Yes, 1.3045393319998766, 1.292, 21, 2021_Aug_24_1050, 618.0464041969999
experiment, 10, ./mid/d_t_9.mid, No, 1.394953035999606, 1.383, 21, 2021_Aug_24_1050, 649.8466477759998
experiment, 11, ./mid/d_t_8.mid, No, 1.2438659340000413, 1.23, 21, 2021_Aug_24_1050, 683.938992886
experiment, 12, ./mid/d_t_5.mid, Yes, 1.9933439930000532, 1.98, 21, 2021_Aug_24_1050, 721.322615216
experiment, 13, ./mid/d_t_15.mid, No, 1.1102072079997924, 1.097, 21, 2021_Aug_24_1050, 754.6136825009999
experiment, 14, ./mid/d_t_7.mid, Yes, 1.850216885000009, 1.834, 21, 2021_Aug_24_1050, 788.682403752
experiment, 15, ./mid/d_p_9.mid, No, 1.478662959000303, 1.464, 21, 2021_Aug_24_1050, 822.039687679
experiment, 16, ./mid/d_t_11.mid, No, 2.0814119410001695, 2.065, 21, 2021_Aug_24_1050, 857.1158222929998
experiment, 17, ./mid/d_p_10.mid, No, 1.9076535439999134, 1.891, 21, 2021_Aug_24_1050, 893.8660106880002
experiment, 18, ./mid/d_t_2.mid, No, 1.215962134000165, 1.203, 21, 2021_Aug_24_1050, 926.8968863199998
experiment, 19, ./mid/d_p_4.mid, No, 1.8975135730001966, 1.885, 21, 2021_Aug_24_1050, 962.080267025
experiment, 20, ./mid/d_t_3.mid, No, 1.949413870999706, 1.936, 21, 2021_Aug_24_1050, 998.9562795319998
experiment, 21, ./mid/d_p_17.mid, Yes, 1.4619486360002156, 1.45, 21, 2021_Aug_24_1050, 1033.4472629000002
experiment, 22, ./mid/d_t_1.mid, No, 1.0240510799999356, 1.007, 21, 2021_Aug_24_1050, 1065.666118703
experiment, 23, ./mid/d_p_2.mid, Yes, 2.094835251999939, 2.081, 21, 2021_Aug_24_1050, 1101.4303319359997
experiment, 24, ./mid/d_t_6.mid, Yes, 1.443156024000018, 1.431, 21, 2021_Aug_24_1050, 1137.1139739649998
experiment, 25, ./mid/d_t_13.mid, Yes, 1.421862911000062, 1.409, 21, 2021_Aug_24_1050, 1171.9972884569997
experiment, 26, ./mid/d_t_18.mid, Yes, 1.4703549129999374, 1.458, 21, 2021_Aug_24_1050, 1206.547208303
experiment, 27, ./mid/d_p_18.mid, No, 2.643755512000098, 2.631, 21, 2021_Aug_24_1050, 1242.247566475
experiment, 28, ./mid/d_p_7.mid, No, 1.0462909470006707, 1.033, 21, 2021_Aug_24_1050, 1274.7066639260001
experiment, 29, ./mid/d_p_6.mid, No, 1.5791436199997406, 1.567, 21, 2021_Aug_24_1050, 1308.3642084149997
experiment, 30, ./mid/d_t_10.mid, No, 0.969135085999369, 0.952, 21, 2021_Aug_24_1050, 1343.3501874330004
experiment, 31, ./mid/d_t_12.mid, No, 1.1841757629999847, 1.167, 21, 2021_Aug_24_1050, 1377.64998001
experiment, 32, ./mid/d_p_15.mid, Yes, 1.3800517300005595, 1.363, 21, 2021_Aug_24_1050, 1411.9333413430004
experiment, 33, ./mid/d_p_16.mid, No, 2.411398403000021, 2.399, 21, 2021_Aug_24_1050, 1448.6311028600003
experiment, 34, ./mid/d_t_16.mid, No, 0.9759356710001157, 0.959, 21, 2021_Aug_24_1050, 1482.4836240200002
experiment, 35, ./mid/d_p_12.mid, No, 1.1777699360000042, 1.164, 21, 2021_Aug_24_1050, 1515.9904888689998
experiment, 36, ./mid/d_t_17.mid, Yes, 1.5613861310002903, 1.549, 21, 2021_Aug_24_1050, 1549.0813604670002
