expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/a_p_1.mid, Yes, 15.347791953000069, 15.334, 3, 2021_Feb_25_1055, 609.0035993560001
practice, 2, ./practice/a_p_2.mid, No, 8.897814941999968, 8.881, 3, 2021_Feb_25_1055, 645.3800185450001
practice, 3, ./practice/a_t_1.mid, Yes, 0.9917853089998516, 0.975, 3, 2021_Feb_25_1055, 678.5959709120001
practice, 4, ./practice/a_t_2.mid, Yes, 2.144466728999987, 2.132, 3, 2021_Feb_25_1055, 712.210577127
experiment, 1, ./mid/a_t_18.mid, Yes, 4.007146398000032, 3.991, 3, 2021_Feb_25_1055, 774.328833685
experiment, 2, ./mid/a_t_12.mid, No, 2.679206643000043, 2.667, 3, 2021_Feb_25_1055, 807.7770096370001
experiment, 3, ./mid/a_t_1.mid, Yes, 4.526616325000077, 4.51, 3, 2021_Feb_25_1055, 845.995932102
experiment, 4, ./mid/a_p_7.mid, No, 4.7730613930000345, 4.759, 3, 2021_Feb_25_1055, 881.4522387360001
experiment, 5, ./mid/a_p_12.mid, No, 3.7132927089999157, 3.701, 3, 2021_Feb_25_1055, 918.276654028
experiment, 6, ./mid/a_p_1.mid, Yes, 2.9576209140000174, 2.945, 3, 2021_Feb_25_1055, 954.1932558740001
experiment, 7, ./mid/a_p_4.mid, No, 2.257277936000037, 2.243, 3, 2021_Feb_25_1055, 987.735898972
experiment, 8, ./mid/a_t_7.mid, No, 1.1792249979998815, 1.166, 3, 2021_Feb_25_1055, 1021.45196658
experiment, 9, ./mid/a_t_14.mid, No, 1.5578092590001233, 1.545, 3, 2021_Feb_25_1055, 1053.726315797
experiment, 10, ./mid/a_t_10.mid, Yes, 0.8566099849999773, 0.845, 3, 2021_Feb_25_1055, 1089.2928443179999
experiment, 11, ./mid/a_p_9.mid, No, 0.8954110940001101, 0.883, 3, 2021_Feb_25_1055, 1123.0596026480002
experiment, 12, ./mid/a_p_6.mid, Yes, 0.9912128589999156, 0.974, 3, 2021_Feb_25_1055, 1155.0454729060002
experiment, 13, ./mid/a_p_2.mid, Yes, 2.04010944200013, 0.511, 3, 2021_Feb_25_1055, 1190.1260971440001
experiment, 14, ./mid/a_t_11.mid, No, 1.7425901669998893, 1.73, 3, 2021_Feb_25_1055, 1222.2096173150003
experiment, 15, ./mid/a_t_15.mid, Yes, 1.095089316999747, 1.08, 3, 2021_Feb_25_1055, 1256.0525135910002
experiment, 16, ./mid/a_p_13.mid, Yes, 1.0087191299999176, 0.995, 3, 2021_Feb_25_1055, 1289.8019970140003
experiment, 17, ./mid/a_t_6.mid, No, 1.1768179780001446, 1.163, 3, 2021_Feb_25_1055, 1320.985504573
experiment, 18, ./mid/a_t_3.mid, Yes, 3.372852530000273, 3.359, 3, 2021_Feb_25_1055, 1359.3258922550003
experiment, 19, ./mid/a_t_17.mid, Yes, 9.36656433600001, 9.353, 3, 2021_Feb_25_1055, 1401.6847971370003
experiment, 20, ./mid/a_p_10.mid, Yes, 2.9548284350003087, 2.941, 3, 2021_Feb_25_1055, 1436.0759737140002
experiment, 21, ./mid/a_p_18.mid, Yes, 1.0448146110002199, 1.031, 3, 2021_Feb_25_1055, 1469.492324923
experiment, 22, ./mid/a_t_8.mid, No, 1.2970067729997936, 1.28, 3, 2021_Feb_25_1055, 1504.678241993
experiment, 23, ./mid/a_t_4.mid, Yes, 1.3432205089998206, 1.331, 3, 2021_Feb_25_1055, 1538.492294307
experiment, 24, ./mid/a_t_9.mid, Yes, 1.1084667049999553, 1.095, 3, 2021_Feb_25_1055, 1572.375492734
experiment, 25, ./mid/a_p_14.mid, Yes, 4.346478311999817, 4.334, 3, 2021_Feb_25_1055, 1609.3756195290002
experiment, 26, ./mid/a_p_17.mid, Yes, 3.1238720979999925, 3.111, 3, 2021_Feb_25_1055, 1646.7756434990001
experiment, 27, ./mid/a_t_5.mid, Yes, 1.1652762099997744, 1.153, 3, 2021_Feb_25_1055, 1681.9593296390003
experiment, 28, ./mid/a_p_5.mid, No, 1.5761888919996636, 1.562, 3, 2021_Feb_25_1055, 1715.368437953
experiment, 29, ./mid/a_p_11.mid, No, 1.0617418439996982, 1.048, 3, 2021_Feb_25_1055, 1749.7849744240002
experiment, 30, ./mid/a_p_15.mid, No, 2.862494120000065, 2.85, 3, 2021_Feb_25_1055, 1784.309060561
experiment, 31, ./mid/a_t_16.mid, No, 2.5741052199996375, 2.562, 3, 2021_Feb_25_1055, 1820.6089486630003
experiment, 32, ./mid/a_p_8.mid, Yes, 2.4326003420001143, 2.42, 3, 2021_Feb_25_1055, 1854.242417331
experiment, 33, ./mid/a_t_13.mid, Yes, 1.2618241229997693, 1.248, 3, 2021_Feb_25_1055, 1888.6513569600002
experiment, 34, ./mid/a_t_2.mid, No, 1.9782196440000916, 1.966, 3, 2021_Feb_25_1055, 1923.3756121250003
experiment, 35, ./mid/a_p_3.mid, No, 1.3423980459997438, 1.325, 3, 2021_Feb_25_1055, 1958.3947656090004
experiment, 36, ./mid/a_p_16.mid, No, 1.6725570020003033, 1.66, 3, 2021_Feb_25_1055, 1991.8589657360003
