NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,61,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
18,277,78,70,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
19,331,79,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
20,545,79,77,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
21,585,78,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
22,813,76,80,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
23,869,79,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
24,1076,72,82,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
25,1136,76,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
26,1359,67,76,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
27,1387,72,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
28,1454,67,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
29,1626,67,70,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
30,1674,67,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
31,1896,67,63,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
32,1951,67,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
33,2168,79,63,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
34,2430,78,70,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
35,2461,79,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
36,2682,79,67,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
37,2710,78,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
38,2952,79,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
39,2961,76,67,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
40,3196,72,76,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
41,3233,76,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
42,3453,76,76,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
43,3495,72,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
44,3696,79,78,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
45,3747,76,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
46,3965,84,81,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
47,4003,79,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
48,4220,83,89,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
49,4341,84,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
50,4492,81,69,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
51,4511,83,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
52,4547,81,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
53,4749,81,61,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
54,4796,81,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
55,5002,81,69,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
56,5066,81,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
57,5238,83,71,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
58,5490,81,79,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
59,5502,83,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
60,5748,84,81,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
61,5784,81,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
62,6008,81,81,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
63,6080,84,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
64,6268,78,73,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
65,6354,81,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
66,6516,79,78,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
67,6575,78,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
68,6668,79,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
69,6784,79,76,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
70,7124,79,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
71,7306,79,81,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
72,7950,79,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
73,8432,77,71,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
74,8489,77,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
75,8696,77,69,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
76,8748,77,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
77,8946,76,67,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
78,8998,76,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
79,9196,76,68,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
80,9291,76,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
81,9494,74,70,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
82,10191,74,64,0,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
83,10588,79,82,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
84,11153,77,87,1,2,110,16,2,8,articulation,performing,8_p_stim_a.png,0
