NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,70,1,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
18,282,78,68,1,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
19,292,79,64,0,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
20,544,78,64,0,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
21,550,79,56,1,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
22,835,76,65,1,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
23,866,79,64,0,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
24,1103,72,65,1,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
25,1128,76,64,0,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
26,1190,72,64,0,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
27,1394,67,53,1,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
28,1440,67,64,0,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
29,1669,67,59,1,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
30,1717,67,64,0,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
31,1927,67,66,1,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
32,1981,67,64,0,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
33,2224,79,70,1,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
34,2493,78,67,1,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
35,2500,79,64,0,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
36,2752,78,64,0,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
37,2763,79,53,1,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
38,3041,76,67,1,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
39,3048,79,64,0,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
40,3324,72,65,1,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
41,3330,76,64,0,2,100,10,3,8,articulation,teaching,8_t_stim_a.png,0
