NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,54,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
18,284,78,68,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
19,346,79,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
20,519,79,79,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
21,548,78,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
22,753,76,80,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
23,816,79,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
24,982,72,76,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
25,1017,76,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
26,1212,72,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
27,1241,67,58,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
28,1284,67,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
29,1482,67,56,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
30,1524,67,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
31,1712,67,56,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
32,1760,67,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
33,2127,79,54,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
34,2437,78,65,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
35,2498,79,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
36,2670,79,81,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
37,2719,78,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
38,2910,76,83,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
39,3012,79,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
40,3153,72,84,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
41,3176,76,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
42,3382,76,90,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
43,3516,72,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
44,3624,79,88,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
45,3694,76,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
46,3856,84,84,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
47,3872,79,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
48,4146,83,84,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
49,4224,84,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
50,4474,81,68,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
51,4528,83,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
52,4604,81,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
53,4699,81,67,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
54,4806,81,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
55,4950,81,67,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
56,5058,81,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
57,5190,83,70,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
58,5432,81,67,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
59,5460,83,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
60,5680,84,73,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
61,5687,81,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
62,5931,81,65,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
63,5978,84,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
64,6200,78,67,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
65,6216,81,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
66,6570,79,57,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
67,6581,78,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
68,6688,79,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
69,6853,79,58,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
70,7254,79,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
71,7446,79,57,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
72,8128,79,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
73,8654,77,89,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
74,8686,77,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
75,8996,77,75,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
76,9036,77,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
77,9230,76,78,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
78,9262,76,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
79,9473,76,76,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
80,9524,76,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
81,9733,74,70,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
82,10246,74,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
83,10908,79,55,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
84,11425,77,67,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
85,11497,79,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
86,11930,76,63,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
87,11988,77,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
88,12061,76,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
89,12185,76,67,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
90,12289,76,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
91,12400,76,74,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
92,12496,76,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
93,12650,76,91,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
94,12737,76,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
95,12886,81,88,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
96,13142,77,83,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
97,13269,81,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
98,13364,76,89,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
99,13437,77,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
100,13608,74,91,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
101,13658,76,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
102,13846,76,89,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
103,13894,74,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
104,14091,79,84,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
105,14172,76,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
106,14330,74,82,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
107,14393,79,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
108,14560,71,83,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
109,14579,74,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
110,14802,72,78,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
111,14822,71,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
112,14904,72,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
113,15039,72,66,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
114,15152,72,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
115,15285,74,66,1,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
116,15345,74,64,0,2,110,15,3,4,dynamics,performing,4_p_stim_d.png,0
