NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,80,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
18,300,78,84,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
19,336,79,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
20,563,79,82,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
21,607,78,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
22,795,79,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
23,838,76,87,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
24,1108,72,91,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
25,1114,76,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
26,1260,72,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
27,1380,67,59,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
28,1445,67,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
29,1658,67,61,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
30,1748,67,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
31,1912,67,70,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
32,1988,67,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
33,2174,79,93,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
34,2460,78,85,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
35,2496,79,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
36,2728,79,94,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
37,2763,78,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
38,2998,76,88,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
39,3003,79,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
40,3266,72,90,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
41,3298,76,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
42,3540,76,95,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
43,3548,72,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
44,3803,79,103,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
45,3808,76,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
46,4090,84,90,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
47,4098,79,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
48,4346,84,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
49,4359,83,91,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
50,4526,83,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
51,4634,81,63,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
52,4716,81,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
53,4917,81,51,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
54,4996,81,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
55,5196,81,58,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
56,5288,81,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
57,5436,83,85,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
58,5708,81,88,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
59,5734,83,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
60,5980,84,96,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
61,5988,81,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
62,6240,81,85,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
63,6258,84,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
64,6527,81,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
65,6532,78,91,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
66,6756,78,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
67,6792,79,89,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
68,6988,79,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
69,7059,79,97,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
70,7486,79,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
71,7620,79,89,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
72,8250,79,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
73,8778,77,54,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
74,8916,77,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
75,9028,77,56,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
76,9208,77,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
77,9294,76,61,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
78,9439,76,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
79,9549,76,60,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
80,9694,76,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
81,9848,74,59,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
82,10411,74,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
83,11001,79,57,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
84,11502,79,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
85,11542,77,61,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
86,12023,77,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
87,12109,76,56,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
88,12254,76,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
89,12378,76,55,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
90,12503,76,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
91,12660,76,61,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
92,12778,76,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
93,12936,76,64,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
94,13054,76,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
95,13220,81,91,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
96,13502,77,91,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
97,13522,81,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
98,13762,77,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
99,13776,76,89,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
100,14054,74,96,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
101,14068,76,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
102,14314,74,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
103,14323,76,100,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
104,14596,79,99,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
105,14602,76,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
106,14860,74,96,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
107,14866,79,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
108,15114,74,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
109,15120,71,87,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
110,15285,71,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
111,15404,72,71,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
112,15524,72,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
113,15660,72,60,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
114,15787,72,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
115,15932,74,60,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
116,16036,74,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
117,16192,74,55,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
118,16316,74,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
119,16510,76,53,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
120,17046,76,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
121,17658,65,55,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
122,17779,65,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
123,17908,65,54,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
124,18058,65,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
125,18180,64,57,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
126,18298,64,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
127,18450,64,59,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
128,18570,64,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
129,18742,62,64,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
130,19245,62,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
131,19892,67,46,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
132,19989,67,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
133,20168,67,64,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
134,20265,67,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
135,20430,71,60,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
136,20540,71,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
137,20700,71,59,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
138,20794,71,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
139,20948,72,70,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
140,21075,72,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
141,21215,72,58,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
142,21348,72,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
143,21470,73,63,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
144,21594,73,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
145,21769,73,65,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
146,21849,73,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
147,22034,74,95,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
148,22609,77,95,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
149,22625,74,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
150,23168,76,93,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
151,23220,77,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
152,23724,74,104,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
153,23745,76,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
154,24219,74,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
155,24298,72,103,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
156,24777,72,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
157,24874,84,110,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
158,25284,84,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
159,25502,84,103,1,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
160,26198,84,64,0,2,110,19,1,8,dynamics,teaching,8_t_stim_d.png,0
