NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,56,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
18,270,79,64,0,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
19,275,78,65,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
20,541,79,69,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
21,558,78,64,0,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
22,820,79,64,0,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
23,822,76,62,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
24,1126,72,65,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
25,1155,76,64,0,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
26,1418,72,64,0,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
27,1428,67,62,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
28,1484,67,64,0,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
29,1709,67,54,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
30,1756,67,64,0,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
31,1994,67,65,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
32,2056,67,64,0,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
33,2297,79,57,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
34,2563,78,70,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
35,2580,79,64,0,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
36,2839,79,71,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
37,2873,78,64,0,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
38,3101,76,71,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
39,3111,79,64,0,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
40,3380,72,71,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
41,3404,76,64,0,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
42,3644,76,74,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
43,3675,72,64,0,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
44,3929,79,70,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
45,3966,76,64,0,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
46,4198,84,76,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
47,4234,79,64,0,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
48,4476,83,71,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
49,4515,84,64,0,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
50,4754,81,62,1,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
51,4772,83,64,0,2,100,5,3,8,articulation,performing,8_p_stim_a.png,0
