NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,60,1,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
18,318,78,75,1,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
19,421,79,64,0,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
20,567,79,89,1,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
21,594,78,64,0,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
22,816,76,84,1,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
23,877,79,64,0,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
24,1071,72,80,1,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
25,1127,76,64,0,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
26,1202,72,64,0,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
27,1388,67,66,1,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
28,1421,67,64,0,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
29,1634,67,62,1,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
30,1670,67,64,0,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
31,1874,67,65,1,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
32,1908,67,64,0,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
33,2224,79,82,1,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
34,2527,78,88,1,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
35,2613,79,64,0,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
36,2773,79,93,1,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
37,2796,78,64,0,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
38,3006,76,86,1,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
39,3060,79,64,0,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
40,3244,72,83,1,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
41,3273,76,64,0,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
42,3491,76,91,1,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
43,3542,72,64,0,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
44,3731,79,89,1,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
45,3776,76,64,0,2,110,15,2,7,articulation,teaching,7_t_stim_a.png,0
