NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,90,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
18,342,78,96,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
19,456,79,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
20,619,79,94,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
21,683,78,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
22,902,76,97,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
23,934,79,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
24,1208,72,91,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
25,1257,76,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
26,1413,72,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
27,1549,67,62,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
28,1586,67,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
29,1834,67,56,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
30,1877,67,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
31,2119,67,63,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
32,2157,67,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
33,2469,79,91,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
34,2762,78,91,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
35,2840,79,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
36,3048,79,91,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
37,3166,78,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
38,3336,76,88,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
39,3385,79,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
40,3645,72,78,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
41,3677,76,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
42,3927,76,85,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
43,3969,72,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
44,4218,79,91,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
45,4295,76,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
46,4520,84,98,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
47,4613,79,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
48,4893,83,100,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
49,4973,84,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
50,5250,83,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
51,5335,81,50,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
52,5389,81,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
53,5634,81,50,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
54,5678,81,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
55,5925,81,57,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
56,5989,81,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
57,6268,83,93,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
58,6567,81,95,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
59,6690,83,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
60,6848,84,96,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
61,6900,81,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
62,7150,81,96,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
63,7207,84,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
64,7451,78,84,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
65,7522,81,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
66,7786,79,81,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
67,7811,78,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
68,8044,79,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
69,8115,79,84,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
70,8718,79,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
71,8800,79,84,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
72,9675,79,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
73,10396,77,55,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
74,10438,77,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
75,10710,77,58,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
76,10754,77,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
77,11002,76,53,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
78,11062,76,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
79,11321,76,40,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
80,11388,76,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
81,11690,74,40,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
82,12269,74,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
83,13016,79,43,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
84,13565,79,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
85,13670,77,53,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
86,14140,77,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
87,14309,76,47,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
88,14370,76,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
89,14627,76,48,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
90,14686,76,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
91,14921,76,53,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
92,14971,76,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
93,15230,76,55,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
94,15292,76,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
95,15644,81,93,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
96,15983,77,87,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
97,16128,81,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
98,16278,76,91,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
99,16386,77,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
100,16562,74,98,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
101,16610,76,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
102,16853,76,91,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
103,16893,74,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
104,17133,79,91,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
105,17203,76,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
106,17434,74,97,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
107,17516,79,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
108,17732,71,96,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
109,17784,74,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
110,18027,71,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
111,18309,72,45,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
112,18375,72,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
113,18620,72,49,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
114,18673,72,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
115,18921,74,45,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
116,18987,74,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
117,19220,74,50,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
118,19290,74,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
119,19566,76,41,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
120,20103,76,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
121,20889,65,48,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
122,20941,65,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
123,21182,65,59,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
124,21235,65,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
125,21488,64,52,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
126,21543,64,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
127,21780,64,49,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
128,21863,64,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
129,22162,62,41,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
130,22751,62,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
131,23435,67,52,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
132,23484,67,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
133,23752,67,63,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
134,23801,67,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
135,24048,71,59,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
136,24104,71,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
137,24349,71,59,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
138,24428,71,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
139,24646,72,63,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
140,24692,72,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
141,24933,72,69,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
142,25021,72,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
143,25225,73,74,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
144,25316,73,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
145,25536,73,72,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
146,25631,73,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
147,25964,74,101,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
148,26587,74,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
149,26609,77,96,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
150,27177,77,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
151,27225,76,91,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
152,27771,76,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
153,27830,74,90,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
154,28419,74,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
155,28493,72,96,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
156,29205,84,96,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
157,29245,72,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
158,29822,84,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
159,29904,84,91,1,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
160,30719,84,64,0,2,100,6,4,3,dynamics,teaching,3_t_stim_d.png,0
