expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/a_p_2.mid, Yes, 10.357949419994839, 10.344, 2, 2020_Nov_12_1202, 3863.9001736510254
practice, 2, ./practice/a_t_1.mid, No, 2.7775036889943294, 2.763, 2, 2020_Nov_12_1202, 3890.642777185014
practice, 3, ./practice/a_t_2.mid, No, 2.2377124119957443, 2.225, 2, 2020_Nov_12_1202, 3915.349848501006
practice, 4, ./practice/a_p_1.mid, No, 3.6267747420060914, 3.613, 2, 2020_Nov_12_1202, 3942.1757524540008
experiment, 1, ./mid/a_t_4.mid, No, 1.3874680920271203, 1.375, 2, 2020_Nov_12_1202, 3987.166360973002
experiment, 2, ./mid/a_t_9.mid, No, 7.444103992980672, 7.43, 2, 2020_Nov_12_1202, 4016.2823243220046
experiment, 3, ./mid/a_t_1.mid, Yes, 1.672684618999483, 1.659, 2, 2020_Nov_12_1202, 4039.924929652014
experiment, 4, ./mid/a_t_18.mid, Yes, 1.3293791350151878, 1.317, 2, 2020_Nov_12_1202, 4067.848884352017
experiment, 5, ./mid/a_p_18.mid, Yes, 1.1235957769968081, 1.111, 2, 2020_Nov_12_1202, 4094.5827178590116
experiment, 6, ./mid/a_t_13.mid, Yes, 2.2225489240081515, 2.21, 2, 2020_Nov_12_1202, 4120.31546504001
experiment, 7, ./mid/a_t_2.mid, Yes, 1.6464415040099993, 1.634, 2, 2020_Nov_12_1202, 4145.265427096019
experiment, 8, ./mid/a_p_13.mid, Yes, 2.0316582979867235, 2.018, 2, 2020_Nov_12_1202, 4171.015320471022
experiment, 9, ./mid/a_t_15.mid, No, 2.622913815022912, 2.606, 2, 2020_Nov_12_1202, 4197.2346127650235
experiment, 10, ./mid/a_p_20.mid, No, 2.543628326006001, 2.53, 2, 2020_Nov_12_1202, 4220.257408654026
experiment, 11, ./mid/a_t_3.mid, No, 1.1424372929905076, 1.13, 2, 2020_Nov_12_1202, 4245.5150500250165
experiment, 12, ./mid/a_t_23.mid, No, 1.7585200849862304, 1.742, 2, 2020_Nov_12_1202, 4273.3999448830145
experiment, 13, ./mid/a_p_21.mid, No, 1.4096398759866133, 1.397, 2, 2020_Nov_12_1202, 4297.015098080999
experiment, 14, ./mid/a_p_15.mid, Yes, 1.5070563619956374, 1.493, 2, 2020_Nov_12_1202, 4322.248246531002
experiment, 15, ./mid/a_p_9.mid, Yes, 1.059870666009374, 1.046, 2, 2020_Nov_12_1202, 4345.0903140520095
experiment, 16, ./mid/a_p_17.mid, No, 1.318235888989875, 1.304, 2, 2020_Nov_12_1202, 4368.157327050023
experiment, 17, ./mid/a_p_10.mid, No, 1.592861240991624, 1.58, 2, 2020_Nov_12_1202, 4392.864963499014
experiment, 18, ./mid/a_t_17.mid, Yes, 1.2050574960012455, 1.193, 2, 2020_Nov_12_1202, 4416.264930682024
experiment, 19, ./mid/a_p_2.mid, Yes, 1.1876059640198946, 1.175, 2, 2020_Nov_12_1202, 4441.331390834006
experiment, 20, ./mid/a_p_14.mid, No, 1.1403474879916757, 1.126, 2, 2020_Nov_12_1202, 4465.697718818003
experiment, 21, ./mid/a_p_12.mid, No, 2.459254581015557, 2.447, 2, 2020_Nov_12_1202, 4489.814573128999
experiment, 22, ./mid/a_t_7.mid, No, 1.2322412820067257, 1.22, 2, 2020_Nov_12_1202, 4513.314485390001
experiment, 23, ./mid/a_p_19.mid, Yes, 1.8631855419953354, 1.849, 2, 2020_Nov_12_1202, 4538.414243935025
experiment, 24, ./mid/a_p_3.mid, Yes, 1.3591927340021357, 1.347, 2, 2020_Nov_12_1202, 4562.814523853012
experiment, 25, ./mid/a_p_7.mid, Yes, 4.456893652997678, 4.44, 2, 2020_Nov_12_1202, 4590.700096111017
