NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,88,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
18,307,78,87,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
19,339,79,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
20,583,79,91,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
21,621,78,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
22,870,76,89,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
23,951,79,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
24,1164,72,81,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
25,1221,76,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
26,1442,67,68,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
27,1480,72,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
28,1518,67,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
29,1725,67,74,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
30,1784,67,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
31,2030,67,64,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
32,2077,67,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
33,2310,79,88,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
34,2591,78,81,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
35,2597,79,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
36,2885,79,90,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
37,2916,78,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
38,3172,76,91,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
39,3228,79,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
40,3455,76,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
41,3461,72,88,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
42,3737,76,93,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
43,3778,72,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
44,4036,79,93,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
45,4088,76,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
46,4331,84,101,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
47,4337,79,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
48,4615,83,79,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
49,4640,84,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
50,4896,83,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
51,4907,81,79,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
52,4966,81,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
53,5200,81,73,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
54,5242,81,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
55,5478,81,80,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
56,5533,81,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
57,5764,83,89,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
58,6057,81,95,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
59,6069,83,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
60,6336,84,98,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
61,6342,81,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
62,6634,81,99,1,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
63,6707,84,64,0,2,100,11,4,1,articulation,performing,1_p_stim_a.png,0
