NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,74,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
18,227,78,85,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
19,310,79,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
20,452,79,78,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
21,527,78,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
22,671,76,78,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
23,693,79,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
24,886,72,75,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
25,903,76,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
26,967,72,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
27,1112,67,72,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
28,1155,67,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
29,1325,67,75,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
30,1378,67,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
31,1557,67,75,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
32,1648,67,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
33,1780,79,81,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
34,1990,78,81,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
35,2021,79,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
36,2215,79,79,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
37,2230,78,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
38,2438,76,77,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
39,2453,79,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
40,2664,76,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
41,2671,72,81,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
42,2903,76,79,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
43,2919,72,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
44,3118,79,81,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
45,3172,76,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
46,3342,84,81,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
47,3358,79,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
48,3559,83,72,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
49,3602,84,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
50,3652,83,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
51,3765,81,81,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
52,3862,81,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
53,3985,81,77,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
54,4076,81,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
55,4199,81,80,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
56,4296,81,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
57,4425,83,86,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
58,4656,81,86,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
59,4712,83,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
60,4859,84,89,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
61,4915,81,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
62,5088,81,81,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
63,5161,84,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
64,5300,78,79,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
65,5303,81,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
66,5414,78,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
67,5529,79,80,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
68,5627,79,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
69,5779,79,85,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
70,5904,79,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
71,6269,79,66,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
72,6800,79,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
73,7215,77,69,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
74,7262,77,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
75,7441,77,67,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
76,7507,77,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
77,7647,76,70,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
78,7714,76,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
79,7879,76,68,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
80,7958,76,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
81,8110,74,68,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
82,8578,74,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
83,9040,79,74,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
84,9502,79,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
85,9514,77,72,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
86,9884,77,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
87,9974,76,61,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
88,10058,76,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
89,10211,76,63,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
90,10258,76,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
91,10429,76,61,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
92,10479,76,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
93,10636,76,56,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
94,10714,76,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
95,10892,81,69,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
96,11133,77,78,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
97,11181,81,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
98,11335,76,75,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
99,11359,77,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
100,11549,76,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
101,11554,74,79,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
102,11776,76,74,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
103,11778,74,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
104,11997,79,77,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
105,12020,76,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
106,12221,74,76,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
107,12255,79,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
108,12413,74,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
109,12447,71,58,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
110,12544,71,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
111,12658,72,62,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
112,12701,72,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
113,12875,72,69,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
114,12912,72,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
115,13088,74,67,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
116,13131,74,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
117,13297,74,67,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
118,13381,74,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
119,13537,76,61,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
120,14012,76,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
121,14434,65,67,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
122,14477,65,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
123,14642,65,71,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
124,14735,65,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
125,14861,64,75,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
126,14938,64,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
127,15075,64,66,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
128,15174,64,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
129,15337,62,58,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
130,15778,62,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
131,16187,67,75,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
132,16269,67,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
133,16412,67,72,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
134,16464,67,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
135,16617,71,79,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
136,16695,71,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
137,16819,71,74,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
138,16912,71,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
139,17045,72,85,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
140,17118,72,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
141,17256,72,79,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
142,17348,72,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
143,17464,73,87,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
144,17548,73,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
145,17696,73,91,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
146,17784,73,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
147,17924,74,81,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
148,18322,74,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
149,18409,77,82,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
150,18819,77,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
151,18893,76,81,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
152,19346,76,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
153,19372,74,78,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
154,19708,74,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
155,19847,72,66,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
156,20103,72,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
157,20345,84,95,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
158,20633,84,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
159,20845,84,91,1,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
160,21234,84,64,0,2,120,8,4,4,articulation,teaching,4_t_stim_a.png,0
