NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,71,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
18,284,78,78,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
19,299,79,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
20,556,79,78,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
21,604,78,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
22,824,76,79,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
23,840,79,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
24,1070,76,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
25,1087,72,71,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
26,1182,72,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
27,1357,67,57,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
28,1411,67,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
29,1608,67,58,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
30,1658,67,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
31,1870,67,66,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
32,1907,67,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
33,2144,79,78,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
34,2401,79,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
35,2427,78,70,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
36,2698,79,80,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
37,2713,78,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
38,2962,76,78,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
39,2974,79,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
40,3256,72,72,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
41,3262,76,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
42,3510,76,80,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
43,3516,72,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
44,3743,76,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
45,3772,79,85,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
46,4029,84,84,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
47,4035,79,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
48,4300,83,78,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
49,4354,84,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
50,4438,83,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
51,4569,81,59,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
52,4621,81,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
53,4828,81,53,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
54,4889,81,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
55,5089,81,58,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
56,5145,81,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
57,5345,83,89,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
58,5582,83,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
59,5610,81,87,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
60,5881,84,91,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
61,5912,81,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
62,6148,81,88,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
63,6174,84,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
64,6396,81,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
65,6423,78,90,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
66,6695,79,85,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
67,6707,78,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
68,6880,79,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
69,6965,79,76,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
70,7403,79,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
71,7503,79,76,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
72,8089,79,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
73,8690,77,50,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
74,8759,77,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
75,8975,77,46,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
76,9054,77,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
77,9240,76,52,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
78,9313,76,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
79,9486,76,46,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
80,9579,76,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
81,9793,74,49,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
82,10217,74,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
83,10810,79,54,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
84,11297,79,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
85,11351,77,54,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
86,11859,77,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
87,11902,76,55,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
88,11955,76,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
89,12160,76,57,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
90,12240,76,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
91,12443,76,48,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
92,12506,76,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
93,12701,76,52,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
94,12759,76,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
95,12980,81,81,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
96,13239,81,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
97,13245,77,83,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
98,13509,76,86,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
99,13515,77,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
100,13782,74,84,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
101,13793,76,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
102,14027,74,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
103,14062,76,86,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
104,14335,79,93,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
105,14344,76,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
106,14600,74,94,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
107,14619,79,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
108,14839,74,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
109,14857,71,82,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
110,15014,71,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
111,15140,72,62,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
112,15199,72,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
113,15394,72,62,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
114,15453,72,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
115,15656,74,64,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
116,15710,74,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
117,15922,74,57,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
118,15999,74,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
119,16198,76,60,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
120,16635,76,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
121,17328,65,40,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
122,17395,65,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
123,17581,65,50,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
124,17647,65,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
125,17871,64,44,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
126,17934,64,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
127,18142,64,45,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
128,18200,64,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
129,18429,62,58,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
130,18920,62,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
131,19569,67,54,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
132,19650,67,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
133,19843,67,58,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
134,19917,67,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
135,20107,71,62,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
136,20178,71,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
137,20366,71,63,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
138,20433,71,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
139,20623,72,75,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
140,20732,72,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
141,20883,72,58,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
142,20994,72,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
143,21161,73,68,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
144,21275,73,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
145,21426,73,61,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
146,21529,73,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
147,21722,74,91,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
148,22314,77,91,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
149,22363,74,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
150,22886,76,88,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
151,22953,77,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
152,23427,74,91,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
153,23461,76,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
154,23934,74,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
155,23981,72,91,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
156,24457,72,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
157,24543,84,96,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
158,25046,84,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
159,25131,84,88,1,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
160,25960,84,64,0,2,110,19,3,6,dynamics,performing,6_p_stim_d.png,0
