NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,88,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
18,238,78,91,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
19,292,79,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
20,446,79,95,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
21,451,78,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
22,666,76,91,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
23,705,79,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
24,888,72,89,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
25,935,76,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
26,968,72,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
27,1142,67,65,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
28,1180,67,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
29,1352,67,71,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
30,1391,67,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
31,1573,67,72,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
32,1646,67,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
33,1807,79,97,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
34,2039,78,95,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
35,2107,79,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
36,2240,79,88,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
37,2269,78,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
38,2464,76,90,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
39,2489,79,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
40,2686,72,91,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
41,2695,76,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
42,2904,76,91,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
43,2923,72,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
44,3120,79,95,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
45,3183,76,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
46,3349,84,91,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
47,3363,79,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
48,3565,83,79,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
49,3617,84,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
50,3663,83,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
51,3786,81,67,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
52,3829,81,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
53,4001,81,74,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
54,4078,81,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
55,4228,81,84,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
56,4311,81,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
57,4451,83,94,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
58,4666,81,97,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
59,4701,83,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
60,4882,84,95,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
61,4921,81,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
62,5098,81,90,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
63,5149,84,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
64,5312,78,93,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
65,5318,81,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
66,5538,79,95,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
67,5571,78,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
68,5653,79,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
69,5765,79,86,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
70,5878,79,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
71,6242,79,88,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
72,6772,79,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
73,7211,77,68,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
74,7251,77,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
75,7437,77,65,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
76,7485,77,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
77,7648,76,67,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
78,7704,76,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
79,7872,76,68,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
80,7937,76,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
81,8112,74,60,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
82,8568,74,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
83,9104,79,67,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
84,9490,79,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
85,9594,77,70,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
86,9927,77,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
87,10036,76,65,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
88,10125,76,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
89,10253,76,67,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
90,10315,76,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
91,10471,76,65,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
92,10532,76,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
93,10692,76,69,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
94,10750,76,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
95,10927,81,84,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
96,11155,77,88,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
97,11209,81,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
98,11355,76,93,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
99,11390,77,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
100,11579,74,93,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
101,11580,76,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
102,11799,76,93,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
103,11814,74,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
104,12021,79,91,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
105,12039,76,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
106,12249,74,90,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
107,12314,79,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
108,12450,74,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
109,12480,71,72,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
110,12568,71,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
111,12692,72,77,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
112,12751,72,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
113,12905,72,70,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
114,12979,72,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
115,13117,74,72,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
116,13188,74,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
117,13342,74,72,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
118,13440,74,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
119,13583,76,63,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
120,14042,76,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
121,14525,65,62,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
122,14566,65,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
123,14737,65,74,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
124,14828,65,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
125,14959,64,74,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
126,15009,64,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
127,15174,64,62,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
128,15280,64,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
129,15434,62,64,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
130,15845,62,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
131,16368,67,60,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
132,16418,67,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
133,16590,67,69,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
134,16637,67,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
135,16809,71,72,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
136,16861,71,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
137,17026,71,67,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
138,17118,71,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
139,17243,72,72,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
140,17307,72,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
141,17476,72,63,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
142,17517,72,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
143,17683,73,68,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
144,17725,73,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
145,17893,73,75,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
146,17988,73,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
147,18116,74,88,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
148,18529,74,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
149,18573,77,90,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
150,19013,77,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
151,19062,76,93,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
152,19518,76,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
153,19545,74,91,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
154,19954,74,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
155,20021,72,93,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
156,20434,72,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
157,20512,84,98,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
158,20882,84,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
159,21035,84,91,1,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
160,21610,84,64,0,2,120,8,3,1,dynamics,teaching,1_t_stim_d.png,0
