NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,66,1,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
18,230,78,78,1,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
19,307,79,64,0,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
20,452,79,80,1,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
21,541,78,64,0,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
22,687,76,80,1,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
23,709,79,64,0,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
24,896,72,77,1,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
25,926,76,64,0,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
26,997,72,64,0,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
27,1108,67,72,1,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
28,1153,67,64,0,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
29,1333,67,70,1,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
30,1403,67,64,0,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
31,1574,67,68,1,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
32,1629,67,64,0,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
33,1813,79,65,1,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
34,2037,78,74,1,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
35,2093,79,64,0,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
36,2252,79,81,1,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
37,2257,78,64,0,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
38,2484,76,78,1,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
39,2508,79,64,0,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
40,2695,72,79,1,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
41,2700,76,64,0,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
42,2919,76,84,1,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
43,2954,72,64,0,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
44,3140,79,88,1,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
45,3197,76,64,0,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
46,3378,84,87,1,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
47,3398,79,64,0,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
48,3598,83,67,1,2,120,8,2,8,articulation,performing,8_p_stim_a.png,0
