NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,56,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
18,295,78,67,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
19,302,79,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
20,557,78,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
21,562,79,72,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
22,814,79,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
23,829,76,75,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
24,1122,72,70,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
25,1130,76,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
26,1265,72,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
27,1394,67,55,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
28,1441,67,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
29,1639,67,62,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
30,1737,67,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
31,1916,67,68,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
32,1983,67,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
33,2199,79,68,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
34,2468,79,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
35,2479,78,75,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
36,2759,79,81,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
37,2796,78,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
38,3012,79,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
39,3026,76,81,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
40,3295,72,79,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
41,3328,76,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
42,3567,76,82,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
43,3576,72,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
44,3831,79,86,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
45,3836,76,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
46,4106,84,78,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
47,4149,79,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
48,4367,83,88,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
49,4476,84,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
50,4558,83,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
51,4669,81,71,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
52,4704,81,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
53,4923,81,66,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
54,4978,81,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
55,5194,81,68,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
56,5277,81,64,0,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
57,5457,83,71,1,2,110,19,2,8,articulation,teaching,8_t_stim_a.png,0
