NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,88,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
18,358,78,90,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
19,466,79,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
20,662,79,93,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
21,722,78,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
22,949,76,91,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
23,1066,79,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
24,1255,72,86,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
25,1285,76,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
26,1484,72,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
27,1653,67,50,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
28,1708,67,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
29,1931,67,59,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
30,1995,67,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
31,2237,67,58,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
32,2282,67,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
33,2575,79,88,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
34,2862,78,91,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
35,2967,79,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
36,3152,79,93,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
37,3217,78,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
38,3453,76,89,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
39,3501,79,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
40,3750,72,84,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
41,3784,76,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
42,4049,76,86,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
43,4100,72,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
44,4332,79,91,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
45,4414,76,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
46,4640,84,96,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
47,4731,79,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
48,4994,83,91,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
49,5077,84,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
50,5384,83,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
51,5492,81,53,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
52,5544,81,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
53,5779,81,52,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
54,5828,81,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
55,6065,81,73,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
56,6117,81,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
57,6408,83,88,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
58,6716,81,95,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
59,6827,83,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
60,7018,84,93,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
61,7086,81,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
62,7321,81,88,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
63,7425,84,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
64,7644,78,84,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
65,7723,81,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
66,7972,79,87,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
67,7981,78,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
68,8251,79,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
69,8325,79,96,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
70,8986,79,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
71,9055,79,86,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
72,9919,79,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
73,10577,77,43,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
74,10638,77,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
75,10882,77,47,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
76,10939,77,64,0,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
77,11175,76,48,1,2,100,6,2,4,dynamics,performing,4_p_stim_d.png,0
