NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,72,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
18,314,78,78,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
19,381,79,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
20,580,79,79,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
21,604,78,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
22,865,76,81,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
23,909,79,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
24,1148,72,76,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
25,1181,76,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
26,1349,72,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
27,1448,67,55,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
28,1493,67,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
29,1740,67,52,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
30,1785,67,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
31,2022,67,68,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
32,2063,67,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
33,2330,79,79,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
34,2641,78,76,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
35,2691,79,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
36,2927,79,81,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
37,2932,78,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
38,3201,76,79,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
39,3220,79,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
40,3487,72,80,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
41,3493,76,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
42,3768,76,81,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
43,3823,72,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
44,4041,79,78,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
45,4055,76,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
46,4326,84,77,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
47,4333,79,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
48,4601,83,76,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
49,4675,84,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
50,4880,81,58,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
51,4888,83,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
52,4959,81,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
53,5156,81,59,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
54,5219,81,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
55,5423,81,67,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
56,5503,81,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
57,5683,83,73,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
58,5969,81,75,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
59,6032,83,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
60,6246,84,74,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
61,6322,81,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
62,6525,81,76,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
63,6578,84,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
64,6813,78,76,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
65,6830,81,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
66,7111,79,71,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
67,7139,78,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
68,7335,79,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
69,7423,79,76,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
70,7938,79,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
71,8011,79,60,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
72,8725,79,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
73,9564,77,42,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
74,9620,77,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
75,9848,77,52,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
76,9904,77,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
77,10114,76,50,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
78,10178,76,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
79,10405,76,50,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
80,10462,76,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
81,10715,74,47,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
82,11460,74,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
83,12022,79,63,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
84,12592,79,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
85,12643,77,69,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
86,13150,77,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
87,13273,76,58,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
88,13346,76,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
89,13588,76,57,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
90,13638,76,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
91,13885,76,62,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
92,13953,76,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
93,14161,76,68,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
94,14294,76,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
95,14447,81,70,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
96,14735,77,80,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
97,14807,81,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
98,15015,76,75,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
99,15065,77,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
100,15304,74,77,1,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
101,15314,76,64,0,2,100,14,4,5,dynamics,teaching,5_t_stim_d.png,0
