NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,65,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
18,230,60,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
19,239,62,65,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
20,441,64,64,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
21,478,62,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
22,628,65,67,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
23,641,64,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
24,828,65,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
25,836,67,72,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
26,1024,65,58,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
27,1040,67,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
28,1217,64,64,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
29,1288,65,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
30,1437,62,66,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
31,1500,64,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
32,1633,62,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
33,1644,60,68,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
34,1749,60,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
35,1839,62,65,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
36,1897,62,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
37,2069,64,60,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
38,2110,64,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
39,2270,65,67,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
40,2359,65,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
41,2486,67,71,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
42,2557,67,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
43,2684,65,68,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
44,2740,65,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
45,2898,64,66,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
46,2967,64,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
47,3106,62,68,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
48,3142,62,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
49,3321,60,68,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
50,3527,62,73,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
51,3542,60,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
52,3723,64,71,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
53,3754,62,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
54,3950,65,67,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
55,3959,64,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
56,4153,65,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
57,4157,67,75,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
58,4363,65,58,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
59,4376,67,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
60,4577,64,58,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
61,4641,65,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
62,4789,62,63,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
63,4844,64,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
64,4975,62,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
65,4987,60,65,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
66,5057,60,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
67,5199,62,67,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
68,5237,62,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
69,5413,64,60,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
70,5453,64,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
71,5622,65,67,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
72,5662,65,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
73,5854,67,65,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
74,5894,67,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
75,6053,65,65,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
76,6096,65,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
77,6262,64,64,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
78,6309,64,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
79,6485,62,58,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
80,6521,62,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
81,6703,60,62,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
82,9504,60,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
83,10051,67,75,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
84,10129,67,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
85,10259,65,69,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
86,10397,65,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
87,10491,64,55,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
88,10542,64,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
89,10687,62,57,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
90,10755,62,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
91,10903,60,53,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
92,10950,60,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
93,11109,62,56,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
94,11147,62,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
95,11331,64,47,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
96,11375,64,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
97,11516,65,59,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
98,11583,65,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
99,11749,67,64,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
100,11869,65,65,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
101,11878,67,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
102,12099,64,62,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
103,12137,65,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
104,12326,62,65,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
105,12387,64,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
106,12531,62,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
107,12534,60,69,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
108,12756,60,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
109,12773,62,69,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
110,12988,64,67,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
111,13005,62,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
112,13174,65,66,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
113,13210,64,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
114,13368,65,64,0,2,7,4,2,articulation,performing,2_p_stim_a.png,0
115,13389,67,70,1,2,7,4,2,articulation,performing,2_p_stim_a.png,0
