NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,65,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
18,232,60,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
19,253,62,68,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
20,452,64,64,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
21,502,62,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
22,657,65,67,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
23,690,64,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
24,872,65,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
25,875,67,75,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
26,1059,67,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
27,1070,65,65,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
28,1287,64,62,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
29,1323,65,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
30,1490,62,64,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
31,1531,64,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
32,1694,62,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
33,1713,60,65,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
34,1818,60,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
35,1896,62,65,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
36,1949,62,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
37,2125,64,67,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
38,2176,64,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
39,2331,65,70,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
40,2398,65,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
41,2557,67,67,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
42,2598,67,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
43,2789,65,61,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
44,2823,65,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
45,2986,64,64,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
46,3024,64,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
47,3212,62,54,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
48,3251,62,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
49,3425,60,69,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
50,3619,60,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
51,3633,62,71,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
52,3832,64,60,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
53,3863,62,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
54,4069,64,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
55,4072,65,64,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
56,4272,65,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
57,4286,67,70,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
58,4464,67,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
59,4497,65,63,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
60,4723,64,67,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
61,4776,65,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
62,4931,62,70,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
63,4945,64,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
64,5116,62,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
65,5146,60,64,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
66,5243,60,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
67,5380,62,62,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
68,5419,62,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
69,5585,64,57,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
70,5631,64,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
71,5791,65,67,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
72,5838,65,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
73,5998,67,65,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
74,6059,67,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
75,6209,65,62,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
76,6327,65,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
77,6445,64,55,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
78,6492,64,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
79,6663,62,58,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
80,6699,62,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
81,6912,60,58,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
82,9381,60,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
83,10106,67,74,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
84,10192,67,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
85,10328,65,63,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
86,10373,65,64,0,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
87,10543,64,54,1,2,7,2,2,articulation,teaching,2_t_stim_a.png,0
