NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,68,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
18,220,62,75,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
19,289,60,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
20,411,64,80,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
21,520,62,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
22,608,65,82,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
23,737,64,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
24,806,67,85,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
25,832,65,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
26,996,65,83,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
27,1044,67,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
28,1206,64,74,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
29,1266,65,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
30,1381,64,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
31,1392,62,62,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
32,1562,62,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
33,1594,60,53,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
34,1797,60,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
35,1805,62,57,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
36,2003,64,59,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
37,2016,62,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
38,2193,65,58,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
39,2233,64,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
40,2376,65,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
41,2401,67,62,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
42,2598,65,56,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
43,2599,67,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
44,2793,65,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
45,2798,64,52,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
46,2971,64,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
47,2994,62,58,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
48,3150,62,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
49,3166,60,86,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
50,3372,62,81,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
51,3427,60,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
52,3553,64,84,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
53,3601,62,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
54,3761,65,86,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
55,3842,64,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
56,3961,67,91,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
57,3987,65,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
58,4156,65,81,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
59,4208,67,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
60,4363,64,76,1,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
61,4445,65,64,0,2,20,1,6,dynamics,performing,6_p_stim_d.png,0
