NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,89,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
18,204,62,95,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
19,242,60,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
20,406,64,93,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
21,456,62,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
22,608,65,93,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
23,660,64,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
24,805,67,98,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
25,845,65,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
26,1006,65,94,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
27,1060,67,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
28,1202,64,88,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
29,1271,65,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
30,1391,62,92,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
31,1428,64,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
32,1624,60,62,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
33,1631,62,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
34,1823,62,63,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
35,1845,60,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
36,2022,64,57,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
37,2054,62,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
38,2235,65,61,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
39,2253,64,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
40,2435,65,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
41,2438,67,62,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
42,2612,67,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
43,2624,65,62,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
44,2822,64,55,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
45,2837,65,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
46,3015,64,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
47,3020,62,65,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
48,3211,60,100,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
49,3241,62,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
50,3415,62,96,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
51,3476,60,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
52,3605,64,92,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
53,3672,62,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
54,3806,65,96,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
55,3866,64,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
56,4003,67,105,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
57,4064,65,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
58,4198,65,85,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
59,4247,67,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
60,4401,64,92,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
61,4476,65,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
62,4596,62,85,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
63,4634,64,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
64,4807,60,61,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
65,4829,62,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
66,5016,62,66,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
67,5054,60,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
68,5202,64,61,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
69,5236,62,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
70,5421,65,61,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
71,5447,64,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
72,5630,67,59,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
73,5635,65,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
74,5809,67,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
75,5822,65,64,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
76,6025,65,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
77,6027,64,54,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
78,6222,62,60,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
79,6244,64,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
80,6434,60,56,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
81,6483,62,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
82,9192,60,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
83,9549,67,53,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
84,9747,67,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
85,9757,65,52,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
86,9941,65,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
87,9955,64,55,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
88,10166,62,57,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
89,10168,64,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
90,10356,60,56,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
91,10359,62,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
92,10571,62,59,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
93,10608,60,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
94,10770,64,60,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
95,10774,62,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
96,10963,64,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
97,10973,65,62,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
98,11162,67,104,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
99,11207,65,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
100,11360,65,95,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
101,11401,67,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
102,11547,64,91,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
103,11622,65,64,0,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
104,11742,62,96,1,2,6,4,7,dynamics,teaching,7_t_stim_d.png,0
