NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,81,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
18,225,62,92,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
19,256,60,64,0,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
20,418,64,91,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
21,458,62,64,0,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
22,576,65,96,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
23,586,64,64,0,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
24,758,65,64,0,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
25,771,67,98,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
26,960,65,86,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
27,997,67,64,0,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
28,1148,64,81,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
29,1181,65,64,0,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
30,1339,62,89,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
31,1347,64,64,0,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
32,1453,62,64,0,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
33,1548,60,75,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
34,1618,60,64,0,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
35,1756,62,83,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
36,1787,62,64,0,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
37,1953,64,87,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
38,2010,64,64,0,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
39,2142,65,94,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
40,2229,65,64,0,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
41,2341,67,82,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
42,2424,67,64,0,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
43,2554,65,83,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
44,2588,65,64,0,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
45,2735,64,78,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
46,2817,64,64,0,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
47,2956,62,86,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
48,3024,62,64,0,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
49,3161,60,74,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
50,3379,62,95,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
51,3407,60,64,0,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
52,3566,64,91,1,2,15,2,1,articulation,teaching,1_t_stim_a.png,0
