NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,71,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
18,209,62,82,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
19,281,60,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
20,368,64,83,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
21,456,62,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
22,532,65,90,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
23,603,64,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
24,698,67,91,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
25,719,65,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
26,877,65,93,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
27,890,67,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
28,1014,64,81,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
29,1093,65,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
30,1191,62,78,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
31,1217,64,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
32,1352,62,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
33,1363,60,62,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
34,1541,60,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
35,1556,62,61,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
36,1719,64,58,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
37,1744,62,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
38,1867,65,63,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
39,1881,64,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
40,2025,65,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
41,2051,67,59,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
42,2211,65,53,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
43,2228,67,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
44,2391,64,55,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
45,2439,65,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
46,2558,64,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
47,2561,62,61,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
48,2710,60,66,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
49,2713,62,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
50,2872,62,89,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
51,2918,60,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
52,3031,64,96,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
53,3096,62,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
54,3190,65,96,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
55,3255,64,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
56,3359,67,94,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
57,3399,65,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
58,3521,65,82,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
59,3560,67,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
60,3692,64,89,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
61,3759,65,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
62,3862,62,80,1,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
63,3901,64,64,0,2,24,4,2,dynamics,performing,2_p_stim_d.png,0
