NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,75,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
18,193,60,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
19,209,62,69,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
20,406,62,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
21,410,64,63,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
22,571,64,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
23,594,65,68,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
24,761,65,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
25,777,67,77,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
26,920,67,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
27,944,65,57,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
28,1144,65,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
29,1148,64,70,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
30,1322,64,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
31,1339,62,65,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
32,1449,62,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
33,1526,60,74,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
34,1590,60,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
35,1711,62,79,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
36,1743,62,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
37,1885,64,81,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
38,1918,64,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
39,2045,65,88,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
40,2130,65,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
41,2229,67,81,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
42,2276,67,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
43,2411,65,78,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
44,2445,65,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
45,2568,64,82,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
46,2613,64,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
47,2735,62,79,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
48,2776,62,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
49,2941,60,84,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
50,3121,60,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
51,3133,62,69,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
52,3313,62,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
53,3316,64,62,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
54,3453,64,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
55,3498,65,53,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
56,3669,65,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
57,3680,67,76,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
58,3855,65,63,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
59,3858,67,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
60,4046,65,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
61,4054,64,60,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
62,4216,64,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
63,4256,62,55,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
64,4383,62,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
65,4432,60,78,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
66,4495,60,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
67,4615,62,72,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
68,4646,62,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
69,4779,64,82,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
70,4812,64,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
71,4953,65,79,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
72,5017,65,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
73,5122,67,81,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
74,5154,67,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
75,5319,65,58,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
76,5412,65,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
77,5508,64,86,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
78,5571,64,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
79,5677,62,78,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
80,5712,62,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
81,5901,60,80,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
82,8058,60,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
83,8683,67,86,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
84,8769,67,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
85,8869,65,80,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
86,8914,65,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
87,9044,64,83,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
88,9082,64,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
89,9211,62,83,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
90,9244,62,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
91,9387,60,86,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
92,9456,60,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
93,9563,62,80,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
94,9610,62,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
95,9741,64,73,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
96,9774,64,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
97,9909,65,79,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
98,9986,65,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
99,10093,67,95,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
100,10304,67,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
101,10318,65,52,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
102,10507,64,70,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
103,10510,65,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
104,10692,64,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
105,10693,62,71,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
106,10856,62,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
107,10869,60,71,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
108,11049,62,71,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
109,11051,60,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
110,11225,64,71,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
111,11231,62,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
112,11359,64,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
113,11390,65,63,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
114,11490,65,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
115,11597,67,73,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
116,11631,67,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
117,11776,65,81,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
118,11809,65,64,0,2,28,1,3,articulation,performing,3_p_stim_a.png,0
119,11944,64,84,1,2,28,1,3,articulation,performing,3_p_stim_a.png,0
