NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,59,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
18,186,60,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
19,192,62,69,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
20,378,64,74,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
21,434,62,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
22,550,65,80,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
23,590,64,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
24,726,67,76,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
25,742,65,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
26,914,65,81,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
27,950,67,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
28,1092,64,77,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
29,1110,65,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
30,1272,64,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
31,1278,62,74,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
32,1340,62,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
33,1462,60,66,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
34,1495,60,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
35,1636,62,72,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
36,1668,62,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
37,1792,64,85,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
38,1824,64,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
39,1974,65,80,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
40,2006,65,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
41,2130,67,93,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
42,2209,67,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
43,2333,65,66,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
44,2365,65,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
45,2502,64,62,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
46,2538,64,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
47,2671,62,75,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
48,2704,62,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
49,2854,60,69,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
50,3030,62,75,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
51,3045,60,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
52,3203,64,76,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
53,3249,62,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
54,3380,65,81,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
55,3403,64,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
56,3553,67,79,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
57,3560,65,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
58,3730,65,81,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
59,3743,67,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
60,3900,64,82,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
61,3914,65,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
62,4072,64,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
63,4075,62,82,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
64,4231,62,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
65,4236,60,68,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
66,4271,60,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
67,4430,62,73,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
68,4464,62,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
69,4584,64,86,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
70,4621,64,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
71,4756,65,86,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
72,4795,65,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
73,4926,67,89,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
74,5008,67,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
75,5110,65,76,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
76,5143,65,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
77,5285,64,62,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
78,5319,64,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
79,5456,62,69,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
80,5486,62,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
81,5652,60,67,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
82,7920,60,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
83,8466,67,65,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
84,8498,67,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
85,8658,65,67,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
86,8691,65,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
87,8837,64,68,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
88,8870,64,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
89,9010,62,74,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
90,9042,62,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
91,9188,60,77,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
92,9219,60,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
93,9370,62,76,1,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
94,9401,62,64,0,2,33,3,3,articulation,teaching,3_t_stim_a.png,0
