NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,81,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
18,279,62,88,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
19,329,60,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
20,467,64,88,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
21,522,62,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
22,642,65,86,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
23,673,64,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
24,827,67,90,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
25,850,65,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
26,1012,65,91,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
27,1040,67,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
28,1176,64,86,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
29,1192,65,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
30,1360,64,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
31,1366,62,73,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
32,1526,62,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
33,1550,60,61,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
34,1731,60,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
35,1746,62,58,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
36,1912,62,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
37,1922,64,58,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
38,2092,64,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
39,2096,65,66,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
40,2271,65,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
41,2282,67,61,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
42,2456,67,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
43,2467,65,66,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
44,2638,65,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
45,2645,64,72,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
46,2816,64,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
47,2826,62,76,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
48,3000,60,87,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
49,3020,62,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
50,3204,62,82,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
51,3251,60,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
52,3371,64,83,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
53,3418,62,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
54,3549,65,86,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
55,3582,64,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
56,3724,67,86,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
57,3734,65,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
58,3901,65,87,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
59,3914,67,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
60,4077,65,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
61,4080,64,76,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
62,4230,64,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
63,4252,62,66,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
64,4406,62,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
65,4428,60,58,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
66,4620,62,60,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
67,4622,60,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
68,4786,62,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
69,4799,64,55,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
70,4973,64,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
71,4978,65,66,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
72,5167,65,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
73,5178,67,59,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
74,5383,65,62,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
75,5389,67,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
76,5572,65,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
77,5590,64,59,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
78,5764,64,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
79,5784,62,60,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
80,5990,62,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
81,6028,60,42,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
82,8221,60,64,0,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
83,8784,67,53,1,2,33,2,4,dynamics,performing,4_p_stim_d.png,0
