NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,56,1,2,6,1,1,articulation,performing,1_p_stim_a.png,0
18,193,60,64,0,2,6,1,1,articulation,performing,1_p_stim_a.png,0
19,200,62,64,1,2,6,1,1,articulation,performing,1_p_stim_a.png,0
20,404,64,55,1,2,6,1,1,articulation,performing,1_p_stim_a.png,0
21,424,62,64,0,2,6,1,1,articulation,performing,1_p_stim_a.png,0
22,595,65,58,1,2,6,1,1,articulation,performing,1_p_stim_a.png,0
23,599,64,64,0,2,6,1,1,articulation,performing,1_p_stim_a.png,0
24,780,67,65,1,2,6,1,1,articulation,performing,1_p_stim_a.png,0
25,783,65,64,0,2,6,1,1,articulation,performing,1_p_stim_a.png,0
26,978,65,57,1,2,6,1,1,articulation,performing,1_p_stim_a.png,0
27,981,67,64,0,2,6,1,1,articulation,performing,1_p_stim_a.png,0
28,1190,64,56,1,2,6,1,1,articulation,performing,1_p_stim_a.png,0
29,1194,65,64,0,2,6,1,1,articulation,performing,1_p_stim_a.png,0
30,1364,64,64,0,2,6,1,1,articulation,performing,1_p_stim_a.png,0
31,1383,62,57,1,2,6,1,1,articulation,performing,1_p_stim_a.png,0
32,1441,62,64,0,2,6,1,1,articulation,performing,1_p_stim_a.png,0
33,1565,60,69,1,2,6,1,1,articulation,performing,1_p_stim_a.png,0
34,1608,60,64,0,2,6,1,1,articulation,performing,1_p_stim_a.png,0
35,1780,62,60,1,2,6,1,1,articulation,performing,1_p_stim_a.png,0
36,1815,62,64,0,2,6,1,1,articulation,performing,1_p_stim_a.png,0
37,1966,64,61,1,2,6,1,1,articulation,performing,1_p_stim_a.png,0
38,2005,64,64,0,2,6,1,1,articulation,performing,1_p_stim_a.png,0
39,2154,65,67,1,2,6,1,1,articulation,performing,1_p_stim_a.png,0
40,2191,65,64,0,2,6,1,1,articulation,performing,1_p_stim_a.png,0
41,2346,67,65,1,2,6,1,1,articulation,performing,1_p_stim_a.png,0
42,2393,67,64,0,2,6,1,1,articulation,performing,1_p_stim_a.png,0
43,2533,65,60,1,2,6,1,1,articulation,performing,1_p_stim_a.png,0
44,2583,65,64,0,2,6,1,1,articulation,performing,1_p_stim_a.png,0
45,2733,64,62,1,2,6,1,1,articulation,performing,1_p_stim_a.png,0
46,2774,64,64,0,2,6,1,1,articulation,performing,1_p_stim_a.png,0
47,2926,62,60,1,2,6,1,1,articulation,performing,1_p_stim_a.png,0
48,2964,62,64,0,2,6,1,1,articulation,performing,1_p_stim_a.png,0
49,3115,60,66,1,2,6,1,1,articulation,performing,1_p_stim_a.png,0
