NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,69,1,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
18,254,62,68,1,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
19,259,60,64,0,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
20,496,64,71,1,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
21,536,62,64,0,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
22,722,65,67,1,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
23,745,64,64,0,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
24,929,65,64,0,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
25,946,67,65,1,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
26,1191,65,59,1,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
27,1194,67,64,0,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
28,1386,64,66,1,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
29,1400,65,64,0,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
30,1603,62,61,1,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
31,1610,64,64,0,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
32,1811,62,64,0,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
33,1839,60,63,1,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
34,1929,60,64,0,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
35,2056,62,65,1,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
36,2094,62,64,0,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
37,2281,64,62,1,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
38,2324,64,64,0,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
39,2490,65,70,1,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
40,2550,65,64,0,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
41,2724,67,70,1,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
42,2794,67,64,0,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
43,2952,65,61,1,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
44,2992,65,64,0,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
45,3170,64,64,1,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
46,3209,64,64,0,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
47,3384,62,64,1,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
48,3420,62,64,0,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
49,3626,60,68,1,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
50,3847,60,64,0,2,7,2,5,dynamics,teaching,5_t_stim_a.png,0
