NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,79,1,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
18,101,60,64,0,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
19,205,62,81,1,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
20,292,62,64,0,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
21,396,64,89,1,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
22,478,64,64,0,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
23,591,65,84,1,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
24,692,65,64,0,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
25,796,67,85,1,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
26,889,67,64,0,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
27,997,65,85,1,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
28,1084,65,64,0,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
29,1188,64,91,1,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
30,1264,64,64,0,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
31,1391,62,89,1,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
32,1480,62,64,0,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
33,1586,60,65,1,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
34,1654,60,64,0,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
35,1790,62,78,1,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
36,1836,62,64,0,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
37,1999,64,72,1,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
38,2046,64,64,0,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
39,2198,65,65,1,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
40,2287,65,64,0,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
41,2394,67,75,1,2,31,4,4,dynamics,performing,4_p_stim_d.png,0
