NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,43,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
18,228,60,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
19,263,62,55,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
20,465,62,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
21,489,64,49,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
22,611,64,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
23,663,65,56,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
24,806,65,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
25,847,67,58,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
26,1013,67,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
27,1035,65,58,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
28,1188,65,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
29,1218,64,64,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
30,1268,64,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
31,1389,62,59,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
32,1430,62,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
33,1569,60,64,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
34,1609,60,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
35,1762,62,64,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
36,1799,62,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
37,1940,64,69,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
38,1977,64,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
39,2129,65,74,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
40,2191,65,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
41,2314,67,83,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
42,2400,67,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
43,2503,65,80,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
44,2578,65,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
45,2689,64,86,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
46,2785,64,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
47,2877,62,89,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
48,2972,62,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
49,3095,60,87,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
50,3346,60,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
51,3363,62,56,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
52,3513,62,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
53,3546,64,57,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
54,3653,64,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
55,3715,65,63,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
56,3835,65,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
57,3909,67,57,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
58,4069,67,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
59,4096,65,59,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
60,4249,65,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
61,4275,64,66,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
62,4399,64,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
63,4455,62,64,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
64,4497,62,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
65,4629,60,86,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
66,4721,60,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
67,4820,62,76,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
68,4855,62,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
69,4996,64,72,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
70,5032,64,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
71,5175,65,72,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
72,5211,65,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
73,5359,67,94,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
74,5451,67,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
75,5541,65,72,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
76,5579,65,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
77,5730,64,67,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
78,5773,64,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
79,5919,62,69,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
80,5979,62,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
81,6170,60,81,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
82,8438,60,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
83,9069,67,81,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
84,9144,67,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
85,9268,65,67,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
86,9306,65,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
87,9463,64,48,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
88,9516,64,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
89,9644,62,59,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
90,9686,62,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
91,9819,60,85,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
92,9921,60,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
93,10019,62,75,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
94,10053,62,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
95,10194,64,69,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
96,10229,64,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
97,10378,65,63,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
98,10417,65,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
99,10572,67,57,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
100,10743,67,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
101,10788,65,45,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
102,10947,65,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
103,10986,64,53,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
104,11118,64,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
105,11168,62,54,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
106,11330,62,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
107,11342,60,62,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
108,11532,60,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
109,11534,62,81,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
110,11722,64,86,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
111,11749,62,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
112,11904,64,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
113,11907,65,88,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
114,11990,65,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
115,12088,67,93,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
116,12172,67,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
117,12280,65,70,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
118,12316,65,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
119,12466,64,58,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
120,12514,64,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
121,12667,62,57,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
122,12714,62,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
123,12832,60,84,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
124,12939,60,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
125,13040,62,69,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
126,13072,62,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
127,13219,64,61,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
128,13256,64,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
129,13410,65,58,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
130,13452,65,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
131,13595,67,55,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
132,13762,67,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
133,13795,65,56,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
134,13971,64,70,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
135,13973,65,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
136,14155,64,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
137,14163,62,78,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
138,14351,62,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
139,14353,60,79,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
140,14533,60,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
141,14545,62,81,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
142,14731,62,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
143,14735,64,75,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
144,14906,64,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
145,14923,65,71,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
146,15046,65,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
147,15185,67,65,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
148,16781,67,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
149,16922,60,86,1,2,18,1,5,articulation,performing,5_p_stim_a.png,0
150,18795,60,64,0,2,18,1,5,articulation,performing,5_p_stim_a.png,0
