NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,59,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
18,318,62,61,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
19,327,60,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
20,609,64,62,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
21,648,62,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
22,903,64,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
23,904,65,65,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
24,1235,67,67,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
25,1266,65,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
26,1581,65,63,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
27,1610,67,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
28,1891,65,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
29,1894,64,64,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
30,2195,64,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
31,2208,62,60,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
32,2516,62,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
33,2574,60,56,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
34,2699,60,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
35,2986,62,72,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
36,3062,62,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
37,3305,64,67,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
38,3398,64,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
39,3638,65,72,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
40,3728,65,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
41,4010,67,72,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
42,4119,67,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
43,4388,65,68,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
44,4479,65,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
45,4748,64,58,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
46,4817,64,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
47,5121,62,60,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
48,5182,62,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
49,5511,60,57,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
50,5803,60,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
51,5812,62,56,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
52,6135,64,62,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
53,6168,62,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
54,6459,65,58,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
55,6462,64,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
56,6838,67,63,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
57,6844,65,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
58,7143,65,68,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
59,7161,67,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
60,7467,65,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
61,7467,64,62,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
62,7796,64,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
63,7799,62,62,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
64,8129,62,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
65,8139,60,59,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
66,8218,60,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
67,8489,62,67,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
68,8571,62,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
69,8805,64,71,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
70,8899,64,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
71,9137,65,69,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
72,9249,65,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
73,9511,67,68,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
74,9632,67,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
75,9853,65,63,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
76,9903,65,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
77,10187,64,64,1,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
78,10288,64,64,0,2,1,1,1,articulation,teaching,1_t_stim_a.png,0
