NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,77,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
18,153,62,78,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
19,200,60,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
20,300,64,80,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
21,315,62,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
22,436,65,81,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
23,456,64,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
24,588,67,93,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
25,612,65,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
26,730,65,81,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
27,777,67,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
28,881,64,83,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
29,924,65,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
30,1034,62,77,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
31,1045,64,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
32,1182,62,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
33,1189,60,69,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
34,1341,62,62,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
35,1352,60,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
36,1487,62,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
37,1503,64,62,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
38,1622,64,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
39,1654,65,56,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
40,1803,65,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
41,1811,67,62,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
42,1930,65,63,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
43,1940,67,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
44,2084,64,71,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
45,2096,65,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
46,2223,62,78,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
47,2230,64,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
48,2375,62,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
49,2378,60,96,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
50,2530,62,93,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
51,2583,60,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
52,2685,64,87,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
53,2714,62,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
54,2823,65,79,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
55,2844,64,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
56,2981,67,94,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
57,2997,65,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
58,3122,65,79,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
59,3170,67,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
60,3276,64,81,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
61,3316,65,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
62,3424,62,81,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
63,3436,64,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
64,3586,62,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
65,3594,60,72,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
66,3745,62,64,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
67,3767,60,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
68,3896,62,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
69,3916,64,64,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
70,4022,64,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
71,4046,65,62,1,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
72,4189,65,64,0,2,10,2,5,dynamics,performing,5_p_stim_d.png,0
