NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,89,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
18,180,62,98,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
19,226,60,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
20,343,64,94,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
21,394,62,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
22,489,65,94,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
23,529,64,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
24,664,67,80,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
25,682,65,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
26,835,65,75,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
27,877,67,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
28,990,64,71,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
29,1040,65,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
30,1164,64,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
31,1167,62,59,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
32,1237,62,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
33,1356,60,47,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
34,1544,60,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
35,1558,62,56,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
36,1718,62,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
37,1722,64,47,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
38,1863,64,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
39,1883,65,57,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
40,2049,65,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
41,2078,67,58,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
42,2248,65,57,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
43,2282,67,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
44,2391,64,53,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
45,2400,65,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
46,2580,62,65,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
47,2589,64,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
48,2623,62,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
49,2720,60,104,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
50,2888,62,96,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
51,2934,60,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
52,3056,64,108,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
53,3121,62,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
54,3207,65,99,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
55,3244,64,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
56,3377,67,96,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
57,3406,65,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
58,3550,65,81,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
59,3605,67,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
60,3710,64,84,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
61,3789,65,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
62,3870,62,77,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
63,3898,64,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
64,3987,62,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
65,4073,60,57,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
66,4224,60,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
67,4239,62,65,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
68,4384,64,62,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
69,4428,62,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
70,4535,65,63,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
71,4552,64,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
72,4734,67,61,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
73,4737,65,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
74,4927,65,66,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
75,4959,67,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
76,5075,64,58,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
77,5146,65,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
78,5257,62,61,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
79,5277,64,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
80,5451,62,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
81,5462,60,58,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
82,7755,60,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
83,8347,67,56,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
84,8519,65,63,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
85,8521,67,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
86,8697,64,58,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
87,8725,65,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
88,8853,62,59,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
89,8859,64,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
90,9017,60,61,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
91,9021,62,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
92,9203,62,67,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
93,9204,60,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
94,9373,64,62,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
95,9402,62,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
96,9520,65,70,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
97,9531,64,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
98,9638,65,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
99,9674,67,104,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
100,9849,65,87,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
101,9905,67,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
102,9997,64,93,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
103,10101,65,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
104,10144,62,102,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
105,10182,64,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
106,10311,60,94,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
107,10327,62,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
108,10475,62,96,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
109,10524,60,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
110,10633,64,92,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
111,10697,62,64,0,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
112,10782,65,84,1,2,24,2,4,dynamics,teaching,4_t_stim_d.png,0
