NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,60,72,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
18,205,62,88,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
19,244,60,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
20,384,64,83,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
21,420,62,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
22,548,65,76,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
23,594,64,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
24,742,67,87,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
25,744,65,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
26,925,65,74,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
27,972,67,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
28,1097,64,79,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
29,1106,65,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
30,1288,64,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
31,1290,62,74,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
32,1463,62,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
33,1484,60,64,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
34,1682,60,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
35,1687,62,65,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
36,1868,62,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
37,1874,64,64,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
38,2064,64,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
39,2073,65,63,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
40,2239,65,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
41,2261,67,65,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
42,2437,67,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
43,2463,65,56,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
44,2631,65,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
45,2647,64,62,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
46,2823,64,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
47,2830,62,64,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
48,3001,60,81,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
49,3004,62,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
50,3209,62,89,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
51,3239,60,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
52,3363,64,84,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
53,3404,62,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
54,3550,65,81,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
55,3589,64,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
56,3739,67,94,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
57,3757,65,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
58,3920,65,91,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
59,3948,67,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
60,4113,64,74,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
61,4151,65,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
62,4297,64,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
63,4300,62,69,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
64,4476,62,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
65,4497,60,68,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
66,4714,60,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
67,4717,62,68,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
68,4887,64,63,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
69,4887,62,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
70,5064,64,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
71,5068,65,67,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
72,5256,65,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
73,5273,67,65,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
74,5430,67,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
75,5441,65,65,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
76,5634,65,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
77,5667,64,42,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
78,5827,62,69,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
79,5830,64,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
80,5989,62,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
81,5997,60,66,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
82,8390,60,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
83,9007,67,58,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
84,9173,67,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
85,9208,65,63,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
86,9366,65,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
87,9385,64,64,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
88,9574,64,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
89,9585,62,64,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
90,9732,62,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
91,9753,60,64,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
92,9956,62,65,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
93,9965,60,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
94,10107,64,71,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
95,10117,62,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
96,10300,65,70,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
97,10307,64,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
98,10496,65,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
99,10499,67,87,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
100,10699,65,85,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
101,10740,67,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
102,10877,64,78,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
103,10914,65,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
104,11063,62,87,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
105,11083,64,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
106,11259,60,87,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
107,11270,62,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
108,11446,62,89,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
109,11488,60,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
110,11616,64,86,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
111,11655,62,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
112,11805,65,78,1,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
113,11842,64,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
114,11980,65,64,0,2,34,4,7,dynamics,performing,7_p_stim_d.png,0
